variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,result_dir,history,horizon,smoke,city,station_id,independent_recomputed
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2047,completed,2,1.6235967874526978,2.037897098998656,0.0827522019972093,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2047.npz,0.7921695709228516,0.8900390839299427,0.6516634225845337,66.3254623413086,48.561767578125,64.66072845458984,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
concat_patchtst_all_default,concat_patchtst_all,2047,completed,2,0.1240607276558876,91.7012628740049,3.765762804992846,test,23174,23171,C,default,default,18,,predictions/concat_patchtst_all_default_seed2047.npz,0.0980701893568039,0.31316160262203907,0.18704600632190704,23.336713790893555,13.938614845275879,25.204532623291016,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 432, ""station_flatten_order"": ""station_major"", ""stride"": 2}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
patchtst_ci_all_default,patchtst_ci_all,2047,completed,2,0.1502560228109359,39.96030695099034,1.824603571003536,test,16680,16677,C,default,default,18,,predictions/patchtst_ci_all_default_seed2047.npz,0.11069659888744354,0.33271098401982996,0.17823250591754913,24.793527603149414,13.281835556030273,23.31969451904297,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 18, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""stride"": 2}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
patchtst_ci_top5_default,patchtst_ci_top5,2047,completed,2,0.152057409286499,12.340292783002951,0.5844665309996344,test,16656,16653,C,default,default,6,,predictions/patchtst_ci_top5_default_seed2047.npz,0.1112532988190651,0.3335465467053513,0.17699794471263885,24.855792999267578,13.189835548400879,22.8779296875,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""stride"": 2}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
multi_tst_default,multi_tst,2047,completed,1,0.2775671184062958,13.576830424994114,0.493998007994378,test,404481,404481,C,default,default,18,,predictions/multi_tst_default_seed2047.npz,0.16433210670948029,0.40537896678229407,0.2801103889942169,30.208724975585938,20.873748779296875,54.961891174316406,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""d_ff"": 256, ""d_model"": 128, ""n_heads"": 16, ""n_layers"": 3}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
multi_gru_default,multi_gru,2047,completed,2,0.176740363240242,0.8878154729900416,0.0377321340056369,test,36101,36101,C,default,default,18,,predictions/multi_gru_default_seed2047.npz,0.1043090969324112,0.32296918882830167,0.19800691306591034,24.06757354736328,14.75541877746582,24.605451583862305,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 100}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_mlp_matched,center_mlp,2047,completed,2,0.1671613156795501,0.0607236630021361,0.0008450540044577,test,21217,21217,B,matched,matched,1,,predictions/center_mlp_matched_seed2047.npz,0.11517176777124405,0.3393696624202642,0.18711872398853302,25.289731979370117,13.944034576416016,21.349119186401367,[9],"{""layers"": [816], ""ps"": [0.1]}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_gru_matched,center_gru,2047,completed,2,0.2778217494487762,0.6370828650105977,0.0267332440125755,test,20993,20993,B,matched,matched,1,,predictions/center_gru_matched_seed2047.npz,0.1848779320716858,0.42997433885254804,0.2595580220222473,32.04156494140625,19.34218978881836,30.203336715698242,[9],"{""hidden_size"": 82}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_lstm_matched,center_lstm,2047,completed,2,0.4028516709804535,0.537476127006812,0.0202047189959557,test,21088,21088,B,matched,matched,1,,predictions/center_lstm_matched_seed2047.npz,0.22825245559215546,0.4777577373441015,0.3045467436313629,35.60236740112305,22.69473648071289,35.47233200073242,[9],"{""hidden_size"": 71}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_tcn_matched,center_tcn,2047,completed,2,1.2977341413497925,0.9013269690040032,0.0415552120102802,test,20737,20737,B,matched,matched,1,,predictions/center_tcn_matched_seed2047.npz,0.688773512840271,0.829923799417917,0.6034901142120361,61.84568405151367,44.97191619873047,58.97217559814453,[9],"{""ks"": 5, ""layers"": [24, 24, 24, 24]}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_resnet_matched,center_resnet,2047,completed,2,0.1099857613444328,7.024703523988137,0.2756968789908569,test,478337,478337,B,matched,matched_nearest,1,,predictions/center_resnet_matched_seed2047.npz,0.08749350905418396,0.29579301725054963,0.16225700080394745,22.04241180419922,12.091346740722656,21.011079788208008,[9],"{""library_fixed"": true}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
center_tst_matched,center_tst,2047,completed,2,0.2361118495464325,1.4751638200104935,0.0374850679945666,test,20609,20609,B,matched,matched,1,,predictions/center_tst_matched_seed2047.npz,0.16518428921699524,0.4064287012712011,0.25616028904914856,30.28695297241211,19.088993072509766,47.758907318115234,[9],"{""d_ff"": 32, ""d_model"": 32, ""n_heads"": 1, ""n_layers"": 3}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,2047,completed,2,3.5394842624664307,2.049234638994676,0.0827384950098348,test,17287,17284,C,matched,matched,18,,predictions/plain_mix_patchtst_all_matched_seed2047.npz,1.7526791095733643,1.3238878765112112,1.047351360321045,98.65574645996094,78.04832458496094,93.16317749023438,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
plain_mix_patchtst_top5_matched,plain_mix_patchtst_top5,2047,completed,2,1.6235967874526978,2.0402983550011413,0.0817512579960748,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_top5_matched_seed2047.npz,0.7921695709228516,0.8900390839299427,0.6516634225845337,66.3254623413086,48.561767578125,64.66072845458984,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
concat_patchtst_all_matched,concat_patchtst_all,2047,completed,2,0.1240607276558876,91.26095937199716,4.458760762005113,test,23174,23171,C,matched,matched,18,,predictions/concat_patchtst_all_matched_seed2047.npz,0.0980701893568039,0.31316160262203907,0.18704600632190704,23.336713790893555,13.938614845275879,25.204532623291016,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 432, ""station_flatten_order"": ""station_major"", ""stride"": 2}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
patchtst_ci_all_matched,patchtst_ci_all,2047,completed,2,0.1502560228109359,39.996952430999954,1.8336296290071916,test,16680,16677,C,matched,matched_nearest,18,,predictions/patchtst_ci_all_matched_seed2047.npz,0.11069659888744354,0.33271098401982996,0.17823250591754913,24.793527603149414,13.281835556030273,23.31969451904297,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 18, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""stride"": 2}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
patchtst_ci_top5_matched,patchtst_ci_top5,2047,completed,2,0.152057409286499,12.334813599998595,0.5804574110079557,test,16656,16653,C,matched,matched_nearest,6,,predictions/patchtst_ci_top5_matched_seed2047.npz,0.1112532988190651,0.3335465467053513,0.17699794471263885,24.855792999267578,13.189835548400879,22.8779296875,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""stride"": 2}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
multi_tst_matched,multi_tst,2047,completed,2,0.2074422538280487,1.489456547991722,0.0385975599929224,test,21153,21153,C,matched,matched,18,,predictions/multi_tst_matched_seed2047.npz,0.1476573348045349,0.3842620652686587,0.2468573898077011,28.635101318359375,18.395742416381836,36.15468215942383,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""d_ff"": 32, ""d_model"": 32, ""n_heads"": 1, ""n_layers"": 3}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
multi_gru_matched,multi_gru,2047,completed,2,0.1948895901441574,0.6191488309996203,0.025372628995683,test,21451,21451,C,matched,matched,18,,predictions/multi_gru_matched_seed2047.npz,0.10745398700237274,0.32780174954135427,0.20340219140052795,24.42769432067871,15.157472610473633,26.4102725982666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 75}",experiments/results/baselines_fix_smoke/beijing/24h_1h,24,1,True,beijing,,True
