history,horizon,station,seed,arm,sse,element_count,rmse,mae,smape_percent
24,1,9032,7002,st_sparse_station_bias_delta_forecast,67261.83810073171,1728,6.238964243110576,3.6645325091150074,9.82165836204768
24,1,9032,7003,degraded_patchtst,69258.47344134115,1728,6.330887385933249,3.7326989383609206,9.962177722641082
24,1,9032,7003,st_sparse_station_bias_delta_forecast,68096.77026469898,1728,6.277567455825667,3.741629590590795,10.000258759941708
24,1,9032,7004,degraded_patchtst,71598.38579456223,1728,6.436944231428435,3.8103285652619823,10.13440354368605
24,1,9032,7004,st_sparse_station_bias_delta_forecast,70160.98290355322,1728,6.372002876786739,3.797847746698945,10.100019532692016
24,1,9032,7005,degraded_patchtst,71584.33993575758,1728,6.436312814648451,3.7774059772491455,10.076441694717959
24,1,9032,7005,st_sparse_station_bias_delta_forecast,69945.61361950093,1728,6.362215467856571,3.781345327695211,10.11740605456131
24,1,9033,7001,degraded_patchtst,182447.03996580618,1728,10.275348060187046,5.6767542329099445,16.142693651994737
24,1,9033,7001,st_sparse_station_bias_delta_forecast,157710.82405899646,1728,9.553420225087162,5.162916595185244,14.722195970723941
24,1,9033,7002,degraded_patchtst,195696.86798188192,1728,10.641921927186358,5.641906859698119,16.127507839403833
24,1,9033,7002,st_sparse_station_bias_delta_forecast,170116.79663343233,1728,9.922057260164197,5.143416044888673,14.785716928771429
24,1,9033,7003,degraded_patchtst,199477.75920730637,1728,10.744231850615648,5.657682104243173,16.017851123779835
24,1,9033,7003,st_sparse_station_bias_delta_forecast,176124.6075585385,1728,10.095739829625542,5.199268094919346,14.728996856310156
24,1,9033,7004,degraded_patchtst,188725.07396883715,1728,10.4506410945703,5.590973711676067,15.959899323230115
24,1,9033,7004,st_sparse_station_bias_delta_forecast,163020.35903311297,1728,9.712903044485207,5.12017978893386,14.749277354270488
24,1,9033,7005,degraded_patchtst,196132.07536998903,1728,10.653748562440668,5.604717561492214,16.12838388510631
24,1,9033,7005,st_sparse_station_bias_delta_forecast,171661.10264252743,1728,9.966991315391635,5.178689089086321,14.815467286400139
24,1,9038,7001,degraded_patchtst,94903.9322082109,1728,7.410887737979632,5.100851551250175,17.702403913811636
24,1,9038,7001,st_sparse_station_bias_delta_forecast,86658.30449502854,1728,7.081629880751771,4.912131297367591,16.977449306357556
24,1,9038,7002,degraded_patchtst,97239.97041647288,1728,7.501541910037658,5.163025429955235,17.80546967000019
24,1,9038,7002,st_sparse_station_bias_delta_forecast,88428.93070615918,1728,7.153610956308184,5.011839497972418,17.40979973185974
24,1,9038,7003,degraded_patchtst,94156.2878197963,1728,7.381638875501025,5.110860677780928,17.771773046397165
24,1,9038,7003,st_sparse_station_bias_delta_forecast,86367.9464381,1728,7.069756041407056,4.932705562423776,17.095549678692727
24,1,9038,7004,degraded_patchtst,94971.55892728167,1728,7.413527695890294,5.108474553735168,17.7194790205709
24,1,9038,7004,st_sparse_station_bias_delta_forecast,87242.83605380869,1728,7.105473407588977,4.937538853398076,17.07765895271028
24,1,9038,7005,degraded_patchtst,94421.41510641722,1728,7.392024258011365,5.085685027970208,17.691234052293712
24,1,9038,7005,st_sparse_station_bias_delta_forecast,86214.06737030655,1728,7.063455252109765,4.881509302942841,16.947516711689996
24,1,9039,7001,degraded_patchtst,59899.999821804144,1728,5.887643989638746,3.4586340144828513,8.85517140819902
24,1,9039,7001,st_sparse_station_bias_delta_forecast,59517.322960431615,1728,5.868806968348103,3.4491116912276656,8.839450147752194
24,1,9039,7002,degraded_patchtst,58423.381578193985,1728,5.814621853757611,3.3696645432048373,8.64222102165715
24,1,9039,7002,st_sparse_station_bias_delta_forecast,57225.107117818145,1728,5.754683434727103,3.3806575260780476,8.828033074836721
24,1,9039,7003,degraded_patchtst,58343.16808562116,1728,5.810628834898741,3.368104988778079,8.625943581350977
24,1,9039,7003,st_sparse_station_bias_delta_forecast,57239.584811526816,1728,5.75541134315288,3.3782621611047676,8.792622129222599
24,1,9039,7004,degraded_patchtst,59607.647709663666,1728,5.873258592863756,3.4867025823504836,9.027837451161602
24,1,9039,7004,st_sparse_station_bias_delta_forecast,58342.44435040612,1728,5.8105927949484855,3.445448395278719,8.937155745114252
