history,horizon,station,seed,quantile_bin,count,base_smape_percent,spatial_smape_percent,smape_change_percent_points,base_rmse,spatial_rmse,base_mae,spatial_mae
24,1,9020,7005,4,280,10.414934071578461,9.100136367652297,-1.314797703926164,6.427484364995156,5.72915543987225,4.9498453548976356,4.382912840162005
24,1,9020,7005,5,151,11.14306648298689,11.59575091013118,0.45268442714428936,11.125815229611897,11.311340886733877,8.077774906790019,8.500277020283882
24,1,9026,7001,1,594,21.509912431722178,22.866902796501655,1.3569903647794774,5.191575446968905,5.4921690410390225,2.9895135128136836,3.291013736917515
24,1,9026,7001,2,377,11.968424751079553,11.300802133931667,-0.6676226171478863,4.954987367486748,4.900291023719959,3.4248263867527484,3.316054741330741
24,1,9026,7001,3,329,12.249506247310537,11.881057627068127,-0.3684486202424093,7.101236250824525,6.9632551471629585,4.7236452479492925,4.653592431436556
24,1,9026,7001,4,240,10.344454250042617,10.032310240274152,-0.3121440097684651,7.339621725960647,7.175794930535688,5.218843603134156,5.132282257080078
24,1,9026,7001,5,188,14.167423147099367,13.479069864233036,-0.6883532828663306,17.059127644856428,16.709377274369665,10.61865890787003,10.251181967715
24,1,9026,7002,1,594,22.328702469213642,22.753977645242546,0.4252751760289044,5.258346668945775,5.522953974696937,3.058965878855901,3.3248150372746017
24,1,9026,7002,2,377,11.797506828442385,11.25953034707705,-0.5379764813653356,4.981602470912072,4.913962173748243,3.40944033149699,3.314303891412143
24,1,9026,7002,3,329,12.5286801347141,12.19626561551974,-0.3324145191943604,7.192559395868459,7.0736674181307855,4.838781182889155,4.770253891640521
24,1,9026,7002,4,240,10.425481945531082,10.19789672396001,-0.22758522157107208,7.284626709894219,7.135206639639772,5.245049540201823,5.190591541926066
24,1,9026,7002,5,188,14.203046569964236,13.46791471659846,-0.7351318533657771,16.676740219239328,16.317489247731263,10.592408931001703,10.176668116386901
24,1,9026,7003,1,594,21.976031473719175,22.70103621104503,0.7250047373258539,5.26925049013461,5.513872949374734,3.056784992667561,3.3096095865423028
24,1,9026,7003,2,377,11.969542811986836,11.57953156324266,-0.3900112487441749,5.056070085125885,5.029428621036177,3.4579004242186206,3.4039451892559347
24,1,9026,7003,3,329,12.478694251017057,12.304223510151491,-0.1744707408655657,7.2039666064824965,7.151136910627574,4.830243397628645,4.821799489864825
24,1,9026,7003,4,240,10.255396770388561,10.079211595529479,-0.17618517485908214,7.271126770294856,7.167221280936471,5.188720258076986,5.155958159764608
24,1,9026,7003,5,188,14.07947582819212,13.31459406447775,-0.764881763714369,16.6138142337587,16.236583140530442,10.572137994969145,10.119856185101447
24,1,9026,7004,1,594,21.774119134453848,22.245995691829407,0.471876557375559,5.301495455393647,5.425222876728825,3.1179683762367327,3.2402173019820193
24,1,9026,7004,2,377,12.156106119956734,11.732335047356102,-0.4237710726006316,5.112987790884302,5.044206616329076,3.5232584217182836,3.437177061085992
24,1,9026,7004,3,329,12.483156840910503,12.226980883129752,-0.2561759577807514,7.175590587175576,7.114028355175836,4.840776965248549,4.774642277633528
24,1,9026,7004,4,240,10.057235218579077,9.895988956941256,-0.16124626163782096,7.112710551073644,7.00491160570462,5.071874324480692,5.012798476219177
24,1,9026,7004,5,188,14.078073475645947,13.6121545214334,-0.4659189542125475,16.425535152996353,16.18166239079122,10.507027372400811,10.23374996794031
24,1,9026,7005,1,594,21.60049337004336,23.203325864394298,1.6028324943509382,5.279572842119736,5.554650503240105,3.0635969470245668,3.377379635769109
24,1,9026,7005,2,377,11.938672075521382,11.579647803007022,-0.3590242725143593,5.003523342861424,5.010464221935838,3.4396659689177254,3.4085261802774527
24,1,9026,7005,3,329,12.409244530569413,12.13045537196504,-0.2787891586043738,7.1829943064708965,7.099285870098363,4.813031153113647,4.770431176507365
24,1,9026,7005,4,240,10.1938712297191,9.925172267344813,-0.2686989623742875,7.223787668726105,7.070224698976426,5.134476478894552,5.0543197870254515
24,1,9026,7005,5,188,13.97493734979906,13.412953109705498,-0.5619842400935617,16.361240894860266,16.084404035773005,10.417504270026024,10.113034846934866
24,1,9032,7001,1,378,10.611265740981429,11.85733367511035,1.2460679341289218,2.3039971861379964,2.527872485383277,1.6871218857941803,1.9057123143836934
24,1,9032,7001,2,619,9.12033865743374,8.994796251481931,-0.12554240595180843,4.491100868931244,4.475183024429132,2.486989916430151,2.509441446603211
24,1,9032,7001,3,232,12.238239968354767,11.682878995479307,-0.5553609728754605,5.96983530069455,5.826704431602372,4.532485131559701,4.405776443152592
24,1,9032,7001,4,301,9.91474017984004,9.570350044239968,-0.34439013560007226,6.918433692518628,6.735862852632842,4.97568477744676,4.835025426161249
24,1,9032,7001,5,198,11.613948116176784,11.407372600715764,-0.2065755154610205,13.480509490122287,13.384916856066344,9.815166126598012,9.751115837482491
24,1,9032,7002,1,378,10.703330928487853,10.383627805016998,-0.3197031234708554,2.314690043849528,2.39580688381995,1.6410928504176872,1.6898146483002516
24,1,9032,7002,2,619,9.198970399024223,8.858045925606808,-0.34092447341741483,4.5478987319943895,4.50831025187178,2.4938033601579064,2.4571238257388113
24,1,9032,7002,3,232,12.453095014629742,11.618279753061998,-0.8348152615677442,5.924080907809638,5.69221781467751,4.5786633820369325,4.356395318590361
24,1,9032,7002,4,301,9.830345946238337,9.444014430772905,-0.3863315154654323,6.922043669272497,6.733091020774647,4.960476840453291,4.790295559702521
24,1,9032,7002,5,198,10.369373775073594,10.230276085850141,-0.139097689223453,12.762716965697683,12.582710125749562,8.772152004819928,8.687070268573184
24,1,9032,7003,1,378,9.941788941201821,11.060833613929322,1.119044672727501,2.2585505317598358,2.4706479606530745,1.586997390424133,1.8055042589783037
24,1,9032,7003,2,619,9.037217690903455,8.958409605909544,-0.07880808499391101,4.499578029388357,4.537880930738752,2.466363342975376,2.50693114470203
24,1,9032,7003,3,232,12.034946530298821,11.361119823375692,-0.6738267069231298,5.839557451264711,5.697370440274962,4.457388565458101,4.292515146321263
24,1,9032,7003,4,301,9.681352882619802,9.310864458412356,-0.370488424207446,6.810377065200285,6.6704548632015905,4.869825337812354,4.7245711456501605
24,1,9032,7003,5,198,10.890981422133203,10.686093353791419,-0.2048880683417842,12.89542731329031,12.736457396862198,9.210142771402994,9.158108663077305
24,1,9032,7004,1,378,10.282610264484362,11.209815839899411,0.9272055754150497,2.2768689773033772,2.463022120856964,1.6446614946637834,1.814659527369908
24,1,9032,7004,2,619,9.045547430719004,8.844104067467004,-0.2014433632520003,4.469644752887369,4.429872214082124,2.4649467529888494,2.4622654460358504
24,1,9032,7004,3,232,12.031504450409821,11.422973310547894,-0.6085311398619275,5.8948049347302165,5.720110763149083,4.453601886486185,4.297508560377976
24,1,9032,7004,4,301,9.857739470378275,9.485832204498783,-0.37190726587949285,6.908893675809479,6.69961997065366,4.944315229143415,4.783594308897507
24,1,9032,7004,5,198,11.453233185961624,11.291200230537905,-0.16203295542371876,13.265602947718719,13.222918184623648,9.67317754572088,9.675320307413736
24,1,9032,7005,1,378,10.318796434975201,11.50495391206568,1.1861574770904788,2.3213910904309603,2.5488708151006536,1.6518602522592696,1.8743031365530831
24,1,9032,7005,2,619,9.0378822547162,8.928025012187488,-0.10985724252871165,4.496896044706952,4.492087138847188,2.470132692179888,2.4991506444040525
24,1,9032,7005,3,232,12.033381871204059,11.382600195152861,-0.6507816760511975,5.860849728759288,5.69325503728445,4.44640093014158,4.286629619269536
24,1,9032,7005,4,301,9.701006665676543,9.306258583147804,-0.3947480825287393,6.872062412916521,6.668973120616206,4.880670059558957,4.720398006249108
24,1,9032,7005,5,198,11.138330706538884,10.937426879667203,-0.20090382687168074,13.266117073319034,13.121855341820648,9.461088450268061,9.410939495972913
24,1,9033,7001,1,271,28.33937841969935,26.507682235768293,-1.831696183931058,13.216432309993264,12.783021410059181,4.845650444171525,4.499468391671832
24,1,9033,7001,2,404,16.127831536860786,14.185246931091378,-1.942584605769408,5.099839690730507,4.33712741640723,3.763968255260203,3.286919617416835
24,1,9033,7001,3,481,12.174479352986266,11.071100675429859,-1.1033786775564067,5.712486539080025,4.868294341564896,4.109427037705007,3.7072474862334635
24,1,9033,7001,4,350,12.826867570327172,11.666978434138318,-1.1598891361888537,8.50499969122528,7.509450419425076,6.301190992082868,5.67387391771589
24,1,9033,7001,5,222,15.10644558385458,14.04005006543549,-1.066395518419089,19.40436161950498,18.34251189518999,12.583628903638136,11.735164436134133
