history,horizon,station,seed,lead,base_rmse,base_mae,base_smape_percent,spatial_rmse,spatial_mae,spatial_smape_percent,rmse_reduction_percent
24,1,9046,7004,1,9.815275277057168,5.401224321789211,15.41869864405012,9.714249068984952,5.440654792167522,15.75798012350601,1.0292753409408835
24,1,9046,7005,1,9.827278024075287,5.472354755357459,15.46757342996113,9.626174531397623,5.423782561664228,15.643405375687061,2.046380413630222
168,6,9020,7001,1,6.778594943794179,4.8077137157689025,21.93990231083809,6.7605320951917065,4.81143129528739,21.075698613078515,0.2664689180020839
168,6,9020,7001,2,9.49411000302462,6.639200052330206,27.658433410486495,9.404992436375228,6.760099762523378,27.9648609292611,0.9386616188458028
168,6,9020,7001,3,11.529672683084277,7.971495116791293,31.6944479399494,11.450962289656314,8.139201814725174,32.30608473679736,0.6826767384597384
168,6,9020,7001,4,13.202069568879354,9.124022212641536,35.351014340166806,13.001418802991175,9.276653353816124,35.92681111342781,1.519843270339706
168,6,9020,7001,5,14.421311340891483,10.003917274934118,37.97062280699241,14.234909125604542,10.170636050832506,38.38727819764687,1.2925469181044564
168,6,9020,7001,6,15.246196877246268,10.642473522811995,39.33718474241862,15.120742444564879,10.811462930216678,39.8453082954356,0.8228572259133006
168,6,9020,7002,1,6.556174883564376,4.547597852517262,19.5251883975342,6.554368179038212,4.707337775058275,21.042976223098794,0.02755729611016083
168,6,9020,7002,2,9.590452545670422,6.751134727482859,27.36823337296801,9.575091782050913,6.9133612830250835,28.692038625587596,0.1601672449382266
168,6,9020,7002,3,11.7321752133107,8.198095675583804,32.114376571094915,11.677395899616098,8.386040262967594,33.23344694482839,0.466915236932815
168,6,9020,7002,4,13.275633620228463,9.249818205153964,35.215062315972965,13.205035952516159,9.398018640683677,35.97945434995843,0.5317837907543085
168,6,9020,7002,5,14.5753462135765,10.159618613235251,38.21583370664464,14.478148983494261,10.285063645143612,38.485272664239346,0.6668605236402735
168,6,9020,7002,6,15.440122529594104,10.734363612681722,39.704085041468076,15.303788917705424,10.83547580929177,39.96705025026966,0.8829827070826014
168,6,9020,7003,1,7.1141101280356915,5.043433261264949,21.571584816313948,7.295812607664,5.127101704921807,21.553456041970858,-2.554113956041314
168,6,9020,7003,2,9.905737499806675,7.03066474474858,28.238426868478843,9.979866120079894,7.055093765258789,28.27636524695329,-0.7483402449809129
168,6,9020,7003,3,11.893771003427736,8.354235871975145,32.77884553726784,11.915347869674882,8.370944194056854,32.63832822433858,-0.181413163587294
168,6,9020,7003,4,13.40718586418763,9.383777821343333,35.55851633976189,13.39137698191223,9.375809631444293,35.41150242880331,0.11791350127864526
168,6,9020,7003,5,14.568005487100843,10.22526341197308,38.406375904301456,14.542216489332604,10.216926614569289,38.16576532862299,0.17702490427445883
168,6,9020,7003,6,15.7132002487845,11.10050895623273,40.74699513921061,15.678138206834655,11.065757270701857,40.527749442935004,0.2231374983753335
168,6,9020,7004,1,7.1970120475369175,5.203518986475475,24.054595385281765,7.077085307850613,5.025998792593958,21.970113649997266,1.6663406826913396
168,6,9020,7004,2,9.916237354823474,7.098016852438638,29.88679047824061,9.778239173425252,6.98063621134453,28.876083754720682,1.391638546561181
168,6,9020,7004,3,11.824462183544647,8.321102033618736,32.92761550317193,11.742568668014988,8.272736599507251,32.51459561270858,0.6925770851855314
168,6,9020,7004,4,13.419561801335092,9.506737238549976,36.08505031588899,13.357886813654964,9.448283711893035,35.8224578046151,0.4595901758430887
168,6,9020,7004,5,14.739625218964681,10.455883308782692,39.007518301780145,14.67048951185894,10.360353486759893,38.588464536083876,0.46904657397115457
168,6,9020,7004,6,15.431367215303858,10.852207920685684,39.8677929971613,15.369719567958182,10.834117779481101,39.63934236932424,0.3994956926728965
168,6,9020,7005,1,6.994414702316908,4.950171491781166,22.152424930506772,7.026201866325761,4.918051851935746,20.86904564408536,-0.4544649604251181
168,6,9020,7005,2,9.597737467155751,6.674736907166571,27.19031011951244,9.630682340688319,6.692446564329509,26.94136270393735,-0.3432566648682335
168,6,9020,7005,3,11.700391241673328,8.12725515287084,32.07369898356884,11.724539198925056,8.148478578660518,31.81638981984902,-0.20638589559056736
168,6,9020,7005,4,13.203446460586328,9.164015248729278,35.204977107559394,13.164322025114767,9.170954869169462,34.81398634387055,0.29631987063643456
168,6,9020,7005,5,14.405054955530161,10.008918071261231,37.24689926469231,14.399444703363375,10.027697023822961,37.1542934990742,0.038946412798183824
168,6,9020,7005,6,15.301853154770065,10.677401048009195,39.43170975761261,15.269753010904878,10.699046220109008,39.26613152698983,0.20977945311924268
168,6,9026,7001,1,8.843579888179658,6.024998828532803,25.57594968297411,8.545073827718078,5.68952815060075,21.70026877504463,3.3753984725186235
168,6,9026,7001,2,11.818490693723122,7.789237328614518,29.127637598655692,11.512784686569178,7.470764295446337,26.183775122456687,2.586675533080602
168,6,9026,7001,3,13.786540542299731,9.16930041757092,32.280552915059836,13.517256884854069,8.932943638855328,30.254846820132386,1.953235886983022
168,6,9026,7001,4,14.739204014109525,9.944340369458287,33.31067282019548,14.55862801153889,9.82011178145309,32.406191398703854,1.2251408040608842
168,6,9026,7001,5,15.449441216380343,10.787062513896224,36.356484313071725,15.25078841200463,10.657267962474473,35.50511510598191,1.2858251738262938
168,6,9026,7001,6,16.18133873488883,11.545181005041837,39.27629518259253,15.988233154513518,11.428795743849248,38.34210836911165,1.1933844506879618
168,6,9026,7002,1,8.286449142990797,5.409274909977976,19.9607707129119,8.219187395398404,5.467879193277582,20.643466286505806,0.8117077222309124
168,6,9026,7002,2,11.475584942103268,7.473406966235382,26.176805832234507,11.313782359628204,7.522815349209226,26.612669950188213,1.4099724178888613
168,6,9026,7002,3,13.645156763013222,9.136312115109368,31.073418601891117,13.374198689265588,9.097047270665522,31.180962752025987,1.9857454073528658
