history,horizon,station,seed,arm,peak_threshold_ugm3,coverage_count,sse,element_count,rmse,mae,smape_percent
24,1,9039,7002,st_sparse_station_bias_delta_forecast,67.0,173,27373.876159378997,173,12.578970467851988,8.825440467437568,10.458965267564471
24,1,9039,7003,degraded_patchtst,67.0,173,27004.91747991243,173,12.493910072560467,8.548561007990314,10.162552525902083
24,1,9039,7003,st_sparse_station_bias_delta_forecast,67.0,173,27614.030281151194,173,12.634028341957391,8.871369444565966,10.536221333081665
24,1,9039,7004,degraded_patchtst,67.0,173,27142.538598263054,173,12.525705037847658,8.7219842458736,10.390371080385407
24,1,9039,7004,st_sparse_station_bias_delta_forecast,67.0,173,27040.303933291245,173,12.502093219717883,8.80483750800866,10.468560291942474
24,1,9039,7005,degraded_patchtst,67.0,173,26827.59504528479,173,12.45282312288944,8.68873161801024,10.366351082986993
24,1,9039,7005,st_sparse_station_bias_delta_forecast,67.0,173,26306.331394996814,173,12.331249695234638,8.562216477587043,10.184048649311846
24,1,9045,7001,degraded_patchtst,75.0,121,107288.77479489792,121,29.77724112831866,20.479229871891746,23.883312490312736
24,1,9045,7001,st_sparse_station_bias_delta_forecast,75.0,121,107740.25281447821,121,29.839827622095086,20.66971058490848,24.083587992181943
24,1,9045,7002,degraded_patchtst,75.0,121,105919.45920354399,121,29.586608988430015,20.346908569335938,23.48587180749717
24,1,9045,7002,st_sparse_station_bias_delta_forecast,75.0,121,108716.86528134067,121,29.974764218062422,20.720864524526043,24.098334300898625
24,1,9045,7003,degraded_patchtst,75.0,121,108212.50946090971,121,29.90515440534488,21.100970701737836,24.400172790617226
24,1,9045,7003,st_sparse_station_bias_delta_forecast,75.0,121,111825.70962274748,121,30.40031937940478,21.77446322795773,25.513421026498364
24,1,9045,7004,degraded_patchtst,75.0,121,105503.42687324852,121,29.528446415495647,20.28801377351619,23.53902136072808
24,1,9045,7004,st_sparse_station_bias_delta_forecast,75.0,121,109113.29090424355,121,30.029364541158948,20.841750767605365,24.42084978213537
24,1,9045,7005,degraded_patchtst,75.0,121,109058.06561234758,121,30.021764228219055,20.642515907602863,24.170969849824615
24,1,9045,7005,st_sparse_station_bias_delta_forecast,75.0,121,108704.1761952972,121,29.973014887540714,20.709880182565737,24.239009051908955
24,1,9046,7001,degraded_patchtst,86.0,115,70613.06152434928,115,24.779560568155024,15.861039966085682,15.255966439329551
