history,horizon,station,seed,block,base_rmse,base_mae,base_smape_percent,spatial_rmse,spatial_mae,spatial_smape_percent,rmse_reduction_percent
24,1,9032,7003,2,8.583805662465867,4.497307519287805,10.269261691784015,8.53922841063319,4.547673782392105,10.226998235222764,0.5193180459291992
24,1,9032,7003,3,5.595396860726905,3.832917638506208,9.55866753411743,5.542754971020859,3.8202943420410156,9.590412277830776,0.9408070779667153
24,1,9032,7003,4,6.127096999071945,3.5453061403547013,11.103315245292407,6.008598337318467,3.520648912702288,11.120642557122762,1.9340098870872637
24,1,9032,7003,5,5.227952380117091,3.4233754021780833,8.571318328443311,5.17607222392902,3.4378584562029157,8.76776904735647,0.9923609171610148
24,1,9032,7004,1,5.490544895147771,3.350308817825551,10.37339811780057,5.502742395337029,3.327851356716331,10.245686104210447,-0.22215463896922003
24,1,9032,7004,2,8.75520083633034,4.660598108231851,10.512349076345524,8.742171644505838,4.709876231658153,10.440335920398649,0.1488165956220774
24,1,9032,7004,3,5.7165664347188105,3.8784678268432615,9.659450736659487,5.617854220301641,3.8407029833112443,9.646246182967028,1.7267745515499249
24,1,9032,7004,4,6.182102549067792,3.601115330287388,11.32202270706891,6.008104276095648,3.5429741178240093,11.194654624490157,2.8145484742627103
24,1,9032,7004,5,5.350858445568037,3.5284935324532647,8.81942259390426,5.279023624533479,3.534342771257673,8.981774873557278,1.3424915229080157
24,1,9032,7005,1,5.533091793665223,3.360215230819282,10.354132470912994,5.526461142844132,3.3553319691882586,10.297636798747138,0.11983626999794349
24,1,9032,7005,2,8.735754654024404,4.523584479959602,10.368598391270947,8.695101483039881,4.5875833571127,10.400204514744901,0.46536530150597893
24,1,9032,7005,3,5.670623539617266,3.8467920630318777,9.594702566270131,5.5744576871288,3.821437563214983,9.61422583511846,1.6958602844398514
24,1,9032,7005,4,6.259374955852867,3.6426211656842913,11.41726216543882,6.086278221064228,3.6051330184936523,11.370779740250255,2.765399676636783
24,1,9032,7005,5,5.296813818097837,3.484269616263253,8.664926397285281,5.231797376080369,3.5069420296805247,8.915219122963194,1.2274632307317208
24,1,9033,7001,1,7.521756155488123,4.907492144756725,17.859088557021895,6.687979179569898,4.259254426402054,15.564702914099648,11.084871121617969
24,1,9033,7001,2,16.51318339913196,7.78020699547227,20.981514134670075,15.861021829791015,7.213169913006644,19.1918861618137,3.9493388620344843
24,1,9033,7001,3,7.015916221795042,4.970805527823312,13.20790945256601,6.30674548324429,4.603244214739118,12.339193229613537,10.108027464006808
24,1,9033,7001,4,8.307271646556728,5.39006943838937,17.238063042387385,7.331268162251673,4.881285160609654,16.080752906394196,11.748784990191066
24,1,9033,7001,5,8.759005488744569,5.278635684422084,11.525859537136743,7.937210178303999,4.792387880597796,10.477038840288795,9.382290164066987
24,1,9033,7002,1,7.657193857360493,4.972040485533735,17.952371689662357,6.823597155463453,4.44582403107156,16.375519885837853,10.886451582987462
24,1,9033,7002,2,17.60460634631812,7.8334439704221195,21.310165041803884,16.909294054423313,7.140862761060057,19.196919676115286,3.9496043150105877
24,1,9033,7002,3,6.946738618871623,4.854944997514997,12.902345175665175,6.25330681908148,4.499496138436454,12.003890146970402,9.982120212589471
24,1,9033,7002,4,8.102014088201706,5.324583603995187,17.400455361189337,7.116076149566062,4.755364183698382,15.942509703068383,12.169047447984369
24,1,9033,7002,5,8.924506995609178,5.174239916120257,11.177313961137129,8.127898178598917,4.823984358651297,10.50161456119431,8.926082050271118
24,1,9033,7003,1,7.8060346197738,5.043053093306515,18.215704291032868,7.083975595252946,4.537161520861704,16.51519925476569,9.250010532771338
24,1,9033,7003,2,17.840830342082246,7.894137673228554,20.799672831710755,17.21386582827064,7.326732271417254,18.90729689769359,3.51421151252554
24,1,9033,7003,3,6.952140653862695,4.853591809953962,12.877534681579633,6.277953137578049,4.4881277302333284,11.935291285874554,9.697552881213058
24,1,9033,7003,4,7.950462358979334,5.2078819165910994,17.03690924839753,7.076580877537253,4.721908465794154,15.840663127846186,10.991580640025418
24,1,9033,7003,5,9.069717231175936,5.242966248648507,11.29020256943236,8.347076458521569,4.872822156633649,10.551974730008173,7.96762185893058
24,1,9033,7004,1,7.69696235544188,4.967032627957312,17.946887342836533,6.8561238711836685,4.444124052648515,16.336270562403726,10.924289939702307
24,1,9033,7004,2,17.113807083441767,7.686657104057464,20.89940728588415,16.408971049091853,7.144005147819845,19.268877649496428,4.11852272795495
24,1,9033,7004,3,6.914057907171873,4.866439617701939,12.93083743066768,6.203491068361934,4.466916863577707,11.896193052049089,10.277131727127655
