task,variant,seed,epoch,stage,patchtst_persistent_state_sha256,patchtst_complete_state_sha256,expected_persistent_state_sha256,expected_complete_state_sha256,persistent_tensor_count,complete_parameter_buffer_count,persistent_changed_tensor_count,complete_changed_tensor_count,persistent_changed_tensors_json,complete_changed_tensors_json,persistent_state_equal,all_parameters_and_buffers_equal,patchtst_eval,invariant_required,source_f00_checkpoint_patchtst_sha256,checkpoint_patchtst_sha256
168h_6h,F10,2060,4,best_checkpoint_saved,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d
168h_6h,F10,2060,5,epoch_after_validation,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,
168h_6h,F10,2060,5,best_checkpoint_saved,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d
168h_6h,F10,2060,6,epoch_after_validation,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,
168h_6h,F10,2060,6,best_checkpoint_saved,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d
168h_6h,F10,2060,7,epoch_after_validation,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,
168h_6h,F10,2060,7,best_checkpoint_saved,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d
168h_6h,F10,2060,8,epoch_after_validation,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,
168h_6h,F10,2060,8,best_checkpoint_saved,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d
168h_6h,F10,2060,9,epoch_after_validation,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,98bceefba470ddb35b3665494deec9bfea21a8b36325b12ac53a9250941feb34,76,76,0,0,[],[],True,True,True,True,69bd03d0a44b531fa76e9c9f9f8fad9f3214eb4953f1f05e2ca4983f4512246d,
