width,parameter_count,absolute_difference,relative_difference_percent
185,51252,44705,682.831831373148
186,51715,45168,689.9037727203299
187,52180,45633,697.0062624102643
188,52647,46100,704.139300442951
189,53116,46569,711.3028868183901
190,53587,47040,718.4970215365817
191,54060,47513,725.7217045975256
192,54535,47988,732.9769360012219
193,55012,48465,740.2627157476707
194,55491,48944,747.5790438368718
195,55972,49425,754.9259202688254
196,56455,49908,762.3033450435314
197,56940,50393,769.7113181609898
198,57427,50880,777.1498396212005
199,57916,51369,784.6189094241637
200,58407,51860,792.1185275698793
201,58900,52353,799.6486940583474
202,59395,52848,807.2094088895677
203,59892,53345,814.8006720635406
204,60391,53844,822.4224835802657
205,60892,54345,830.0748434397434
206,61395,54848,837.7577516419734
207,61900,55353,845.4712081869559
208,62407,55860,853.2152130746907
209,62916,56369,860.9897663051779
210,63427,56880,868.7948678784176
211,63940,57393,876.6305177944097
212,64455,57908,884.4967160531542
213,64972,58425,892.393462654651
214,65491,58944,900.3207575989003
215,66012,59465,908.2786008859019
216,66535,59988,916.266992515656
217,67060,60513,924.2859324881625
218,67587,61040,932.3354208034215
219,68116,61569,940.4154574614328
220,68647,62100,948.5260424621964
221,69180,62633,956.6671758057125
222,69715,63168,964.8388574919811
223,70252,63705,973.0410875210019
224,70791,64244,981.2738658927753
225,71332,64785,989.5371926073011
226,71875,65328,997.8310676645792
227,72420,65873,1006.1554910646097
228,72967,66420,1014.5104628073927
229,73516,66969,1022.895982892928
230,74067,67520,1031.312051321216
231,74620,68073,1039.758668092256
232,75175,68628,1048.2358332060485
233,75732,69185,1056.7435466625936
234,76291,69744,1065.281808461891
235,76852,70305,1073.8506186039408
236,77415,70868,1082.449977088743
237,77980,71433,1091.0798839162976
238,78547,72000,1099.7403390866045
239,79116,72569,1108.431342599664
240,79687,73140,1117.1528944554757
241,80260,73713,1125.90499465404
242,80835,74288,1134.6876431953567
243,81412,74865,1143.5008400794256
244,81991,75444,1152.3445853062472
245,82572,76025,1161.218878875821
246,83155,76608,1170.1237207881472
247,83740,77193,1179.0591110432258
248,84327,77780,1188.025049641057
249,84916,78369,1197.0215365816405
250,85507,78960,1206.0485718649763
251,86100,79553,1215.1061554910646
252,86695,80148,1224.1942874599054
253,87292,80745,1233.3129677714985
254,87891,81344,1242.4621964258438
255,88492,81945,1251.6419734229419
256,89095,82548,1260.852298762792
