task,seed,variant,variable,lag,horizon_step,mean_weight,std_weight
168h_6h,2060,F01,temperature,1,5,0.012224019505083561,0.002959376433864236
168h_6h,2060,F01,temperature,1,6,0.027016326785087585,0.006205819547176361
168h_6h,2060,F01,temperature,2,1,0.0005483738495968282,0.0004217317618895322
168h_6h,2060,F01,temperature,2,2,0.02220102585852146,0.00986966211348772
168h_6h,2060,F01,temperature,2,3,0.025565534830093384,0.00850503146648407
168h_6h,2060,F01,temperature,2,4,0.021356232464313507,0.0029939867090433836
168h_6h,2060,F01,temperature,2,5,0.010278510861098766,0.006208582315593958
168h_6h,2060,F01,temperature,2,6,0.035826727747917175,0.017303014174103737
168h_6h,2060,F01,temperature,3,1,0.0005552593502216041,0.0002467990852892399
168h_6h,2060,F01,temperature,3,2,0.023315763100981712,0.012416042387485504
168h_6h,2060,F01,temperature,3,3,0.013643167912960052,0.004129804205149412
168h_6h,2060,F01,temperature,3,4,0.014286771416664124,0.0020987221505492926
168h_6h,2060,F01,temperature,3,5,0.007630458567291498,0.0022726973984390497
168h_6h,2060,F01,temperature,3,6,0.023570077493786812,0.008714750409126282
168h_6h,2060,F01,temperature,6,1,0.004885766189545393,0.0037597978953272104
168h_6h,2060,F01,temperature,6,2,0.0774201825261116,0.008776320144534111
168h_6h,2060,F01,temperature,6,3,0.0124157490208745,0.003066148841753602
168h_6h,2060,F01,temperature,6,4,0.026066673919558525,0.0014390749856829643
168h_6h,2060,F01,temperature,6,5,0.017855066806077957,0.006915585603564978
168h_6h,2060,F01,temperature,6,6,0.01310651283711195,0.0032597475219517946
168h_6h,2060,F01,temperature,12,1,0.0011423601536080241,0.0007704132003709674
168h_6h,2060,F01,temperature,12,2,0.0188163910061121,0.0023008871357887983
168h_6h,2060,F01,temperature,12,3,0.07244051247835159,0.007508929818868637
168h_6h,2060,F01,temperature,12,4,0.01038247998803854,0.0008969716145657003
168h_6h,2060,F01,temperature,12,5,0.00922881904989481,0.0037749463226646185
168h_6h,2060,F01,temperature,12,6,0.014234949834644794,0.002401705365628004
168h_6h,2060,F01,pressure_hPa_fixed,0,1,0.0696185901761055,0.03576413169503212
168h_6h,2060,F01,pressure_hPa_fixed,0,2,0.012921451590955257,0.0034816733095794916
168h_6h,2060,F01,pressure_hPa_fixed,0,3,0.023789500817656517,0.004709050990641117
168h_6h,2060,F01,pressure_hPa_fixed,0,4,0.03333156555891037,0.00584020558744669
168h_6h,2060,F01,pressure_hPa_fixed,0,5,0.11846581846475601,0.03824370726943016
168h_6h,2060,F01,pressure_hPa_fixed,0,6,0.0015014997916296124,0.0005527224275283515
168h_6h,2060,F01,pressure_hPa_fixed,1,1,0.03394656255841255,0.005572972819209099
168h_6h,2060,F01,pressure_hPa_fixed,1,2,0.0686071515083313,0.01743234321475029
168h_6h,2060,F01,pressure_hPa_fixed,1,3,0.0037252772599458694,0.0010328801581636071
168h_6h,2060,F01,pressure_hPa_fixed,1,4,0.045875757932662964,0.005024277605116367
168h_6h,2060,F01,pressure_hPa_fixed,1,5,0.035174835473299026,0.007629760075360537
168h_6h,2060,F01,pressure_hPa_fixed,1,6,0.005831343587487936,0.0014783928636461496
168h_6h,2060,F01,pressure_hPa_fixed,2,1,0.00262302253395319,0.001460955012589693
168h_6h,2060,F01,pressure_hPa_fixed,2,2,0.008450132794678211,0.0029882024973630905
168h_6h,2060,F01,pressure_hPa_fixed,2,3,0.017957601696252823,0.0023554193321615458
168h_6h,2060,F01,pressure_hPa_fixed,2,4,0.018335683271288872,0.0013108492130413651
168h_6h,2060,F01,pressure_hPa_fixed,2,5,0.025471793487668037,0.003072667634114623
168h_6h,2060,F01,pressure_hPa_fixed,2,6,0.007672266568988562,0.0038677381817251444
168h_6h,2060,F01,pressure_hPa_fixed,3,1,0.0029365073423832655,0.0009128529927693307
168h_6h,2060,F01,pressure_hPa_fixed,3,2,0.008825751952826977,0.003891079453751445
168h_6h,2060,F01,pressure_hPa_fixed,3,3,0.009719341062009335,0.0012677022023126483
168h_6h,2060,F01,pressure_hPa_fixed,3,4,0.012243847362697124,0.0009164754301309586
168h_6h,2060,F01,pressure_hPa_fixed,3,5,0.021513530984520912,0.004171853419393301
168h_6h,2060,F01,pressure_hPa_fixed,3,6,0.005015369970351458,0.0018806186271831393
168h_6h,2060,F01,pressure_hPa_fixed,6,1,0.023141197860240936,0.012138543650507927
168h_6h,2060,F01,pressure_hPa_fixed,6,2,0.031165556982159615,0.00673865620046854
168h_6h,2060,F01,pressure_hPa_fixed,6,3,0.008961034007370472,0.0012394847581163049
168h_6h,2060,F01,pressure_hPa_fixed,6,4,0.022732123732566833,0.0026474238839000463
168h_6h,2060,F01,pressure_hPa_fixed,6,5,0.04823965206742287,0.005860482342541218
168h_6h,2060,F01,pressure_hPa_fixed,6,6,0.0027949318755418062,0.0007123356917873025
168h_6h,2060,F01,pressure_hPa_fixed,12,1,0.0054643708281219006,0.002399470889940858
168h_6h,2060,F01,pressure_hPa_fixed,12,2,0.007496336475014687,0.0007672196952626109
168h_6h,2060,F01,pressure_hPa_fixed,12,3,0.05622518062591553,0.019909678027033806
168h_6h,2060,F01,pressure_hPa_fixed,12,4,0.009110151790082455,0.0018682647496461868
168h_6h,2060,F01,pressure_hPa_fixed,12,5,0.0244231466203928,0.0029557161033153534
168h_6h,2060,F01,pressure_hPa_fixed,12,6,0.003083424409851432,0.0006479501025751233
168h_6h,2060,F01,humidity_clean,0,1,0.010005931369960308,0.003850859822705388
168h_6h,2060,F01,humidity_clean,0,2,0.02138439752161503,0.0034559746272861958
168h_6h,2060,F01,humidity_clean,0,3,0.01350564043968916,0.004811450839042664
168h_6h,2060,F01,humidity_clean,0,4,0.036817893385887146,0.0034264938440173864
168h_6h,2060,F01,humidity_clean,0,5,0.036737110465765,0.004032522439956665
168h_6h,2060,F01,humidity_clean,0,6,0.011546810157597065,0.0016682423884049058
168h_6h,2060,F01,humidity_clean,1,1,0.0053868466056883335,0.0015708821592852473
168h_6h,2060,F01,humidity_clean,1,2,0.11439144611358643,0.02049650438129902
168h_6h,2060,F01,humidity_clean,1,3,0.00215558847412467,0.000951287685893476
168h_6h,2060,F01,humidity_clean,1,4,0.05326693877577782,0.013787154108285904
168h_6h,2060,F01,humidity_clean,1,5,0.011249433271586895,0.0011825059773400426
168h_6h,2060,F01,humidity_clean,1,6,0.05219170078635216,0.022185346111655235
168h_6h,2060,F01,humidity_clean,2,1,0.00037106251693330705,0.00017937278607860208
168h_6h,2060,F01,humidity_clean,2,2,0.014501099474728107,0.005370445549488068
168h_6h,2060,F01,humidity_clean,2,3,0.009821833111345768,0.0017242067260667682
168h_6h,2060,F01,humidity_clean,2,4,0.02102798968553543,0.004756577778607607
168h_6h,2060,F01,humidity_clean,2,5,0.008813351392745972,0.003407194511964917
168h_6h,2060,F01,humidity_clean,2,6,0.05722435191273689,0.013394968584179878
168h_6h,2060,F01,humidity_clean,3,1,0.0004362995096016675,0.0001429854310117662
168h_6h,2060,F01,humidity_clean,3,2,0.015196561813354492,0.006889383774250746
168h_6h,2060,F01,humidity_clean,3,3,0.005335001740604639,0.001127445138990879
168h_6h,2060,F01,humidity_clean,3,4,0.014004851691424847,0.0027466141618788242
168h_6h,2060,F01,humidity_clean,3,5,0.006892845034599304,0.000808132637757808
168h_6h,2060,F01,humidity_clean,3,6,0.03889380767941475,0.006000237073749304
168h_6h,2060,F01,humidity_clean,6,1,0.0031540710479021072,0.0013444374781101942
168h_6h,2060,F01,humidity_clean,6,2,0.05301527678966522,0.008877972140908241
168h_6h,2060,F01,humidity_clean,6,3,0.004938637837767601,0.0013553438475355506
168h_6h,2060,F01,humidity_clean,6,4,0.02700488455593586,0.009329572319984436
168h_6h,2060,F01,humidity_clean,6,5,0.015527855604887009,0.002780936425551772
168h_6h,2060,F01,humidity_clean,6,6,0.02240878902375698,0.003255121409893036
168h_6h,2060,F01,humidity_clean,12,1,0.0007222751155495644,0.00023370032431557775
168h_6h,2060,F01,humidity_clean,12,2,0.012707074172794819,0.0009121790062636137
168h_6h,2060,F01,humidity_clean,12,3,0.03384349122643471,0.0203719399869442
168h_6h,2060,F01,humidity_clean,12,4,0.011231730692088604,0.004342474974691868
168h_6h,2060,F01,humidity_clean,12,5,0.007868919521570206,0.0017829438438639045
168h_6h,2060,F01,humidity_clean,12,6,0.024690011516213417,0.004434029571712017
168h_6h,2060,F11,NO2,0,1,0.3106887936592102,0.055553652346134186
168h_6h,2060,F11,NO2,0,2,0.004712806548923254,0.001430570613592863
168h_6h,2060,F11,NO2,0,3,0.016194740310311317,0.003223181003704667
