task,seed,variant,scenario,cell_count,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
24h_1h,2060,B_flat,high_pollution,1,98.88755798339844,98.88755798339844,71.3699877665357,-98.88755798339844
24h_1h,2060,B_flat,rapid_rise,11,47.026437769559074,40.31800946322355,44.729690862233404,-37.72156975486062
24h_1h,2060,B_flat,decline,8,19.176047017878524,15.252881050109867,16.709820758406767,-8.79398250579834
24h_1h,2060,B_flat,ordinary,29,47.557106513406865,40.709308492726294,56.91646506181063,-0.4522662984913808
24h_1h,2060,B3,high_pollution,1,98.8880615234375,98.8880615234375,71.37048087287747,-98.8880615234375
24h_1h,2060,B3,rapid_rise,11,47.02719556181596,40.31879355690696,44.73079334801742,-37.72261463512074
24h_1h,2060,B3,decline,8,19.176311272432883,15.252657890319822,16.70972709430219,-8.794947624206541
24h_1h,2060,B3,ordinary,29,47.55697668850347,40.70940899026805,56.91690585604516,-0.45338282091864374
168h_6h,2060,F00,high_pollution,7,105.27562544663428,99.0732421875,76.34415699433849,-99.0732421875
168h_6h,2060,F00,rapid_rise,72,82.63392413156453,69.07765377892389,65.2508434736036,-18.946592648824055
168h_6h,2060,F00,decline,48,53.89818702472864,46.20128607749939,51.51080927141641,-26.13637614250183
168h_6h,2060,F00,ordinary,168,63.021105660060485,48.690927550906224,55.05873449254486,4.691070147923061
168h_6h,2060,F10,high_pollution,7,105.24902667842929,99.0410624912807,76.31143375264851,-99.0410624912807
168h_6h,2060,F10,rapid_rise,72,82.61718719863839,69.06470017962985,65.23354723179754,-18.9204330974155
168h_6h,2060,F10,decline,48,53.886207972986575,46.19131954511007,51.489799260290305,-26.109827121098835
168h_6h,2060,F10,ordinary,168,63.006515817427434,48.67315281005133,55.02342632317525,4.7175190562293645
168h_6h,2060,F01,high_pollution,7,105.27391912644951,99.07147543770927,76.34213668287677,-99.07147543770927
168h_6h,2060,F01,rapid_rise,72,82.63274772790923,69.07661734686957,65.2492296096232,-18.94488673739963
168h_6h,2060,F01,decline,48,53.89709544356963,46.20047116279602,51.50910307710104,-26.134629170099895
168h_6h,2060,F01,ordinary,168,63.0202363140659,48.689831256866455,55.056342816288705,4.69290794645037
168h_6h,2060,F11,high_pollution,7,105.24732090232537,99.03929410661969,76.30941413229061,-99.03929410661969
168h_6h,2060,F11,rapid_rise,72,82.61601413452163,69.06366353564792,65.2319352273258,-18.91872633828057
168h_6h,2060,F11,decline,48,53.88512024094284,46.19050391515096,51.48809588615495,-26.108081340789795
168h_6h,2060,F11,ordinary,168,63.00565096107333,48.67205608458746,55.021036950692235,4.71935646874564
168h_6h,2060,B1,high_pollution,7,105.24733761247803,99.03934587751117,76.30944130559466,-99.03934587751117
168h_6h,2060,B1,rapid_rise,72,82.61600670349813,69.06366284688313,65.23192152737722,-18.91873444451226
168h_6h,2060,B1,decline,48,53.885074611787395,46.19048078854879,51.488043413825345,-26.10806934038798
168h_6h,2060,B1,ordinary,168,63.00561854703001,48.6720222064427,55.020980120790796,4.719360555921282
168h_6h,2060,B2,high_pollution,7,105.24731231146873,99.03929465157645,76.30940612418858,-99.03929465157645
168h_6h,2060,B2,rapid_rise,72,82.61601923195508,69.0636781056722,65.23194748756515,-18.918723636203342
168h_6h,2060,B2,decline,48,53.88511098587149,46.190499226252236,51.4880999676739,-26.108091592788696
168h_6h,2060,B2,ordinary,168,63.005650571719634,48.67205281484695,55.02103365742992,4.719360873812721
168h_6h,2060,B_flat,high_pollution,7,105.24849421330855,99.04066957746234,76.31081375779767,-99.04066957746234
168h_6h,2060,B_flat,rapid_rise,72,82.61688074477301,69.0646358595954,65.23334216254885,-18.91978481080797
168h_6h,2060,B_flat,decline,48,53.885755131339934,46.191060066223145,51.48919312853586,-26.10927677154541
168h_6h,2060,B_flat,ordinary,168,63.0059343564803,48.672386896042596,55.02200843200175,4.718181837172735
168h_6h,2060,B3,high_pollution,7,105.24806242271667,99.03984069824219,76.31021218076448,-99.03984069824219
168h_6h,2060,B3,rapid_rise,72,82.61649871412747,69.06418418884277,65.23293068383853,-18.9195343653361
168h_6h,2060,B3,decline,48,53.88576959468025,46.1909392674764,51.48899299404037,-26.108832359313965
168h_6h,2060,B3,ordinary,168,63.00586276476055,48.67238398960659,55.021994408037244,4.718464261009579
