task,seed,variant,scenario,cell_count,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
24h_1h,2062,B3,decline,105,44.004155630806764,33.05487213134766,34.52683988862237,32.481820606050036
24h_1h,2062,B3,ordinary,539,6.752648618446698,5.0724928861204015,23.932435958038837,-0.17112596756009735
168h_6h,2060,F00,high_pollution,1152,69.33648442195825,54.49139137731658,23.3898696006,-42.84037143323157
168h_6h,2060,F00,rapid_rise,750,66.65373553691958,53.099482666015625,39.946377053604195,-49.50934596761068
168h_6h,2060,F00,decline,630,77.99936162387705,56.97097704448397,49.57424116252185,33.477063605898906
168h_6h,2060,F00,ordinary,3204,36.859974764440246,23.04373236571656,62.22376489723466,8.065089486511459
168h_6h,2060,F10,high_pollution,1152,68.53038056740186,53.929666148291695,23.079927531557036,-43.126035902235245
168h_6h,2060,F10,rapid_rise,750,66.18080802770204,52.68947761027018,39.79215851989575,-48.93429270426432
168h_6h,2060,F10,decline,630,77.99940931773597,57.21250694517105,49.65351432088837,33.72347619798448
168h_6h,2060,F10,ordinary,3204,36.27237090760182,22.50153106279885,62.62350354895475,7.068167906724261
168h_6h,2060,F01,high_pollution,1152,68.33696292066445,53.335671385129295,22.780167130760827,-41.27481295002831
168h_6h,2060,F01,rapid_rise,750,65.6936908799542,52.099861282348634,39.32679662257016,-48.304547053019206
168h_6h,2060,F01,decline,630,78.26726149263177,57.24933829534621,49.62455062447849,34.64088162013463
168h_6h,2060,F01,ordinary,3204,36.728419235746415,22.82768400480387,62.124143227807515,7.979711727851934
168h_6h,2060,F11,high_pollution,1152,67.86069195876841,53.07324868440628,22.60569883674244,-42.052792078918884
168h_6h,2060,F11,rapid_rise,750,65.35841226415427,51.73279479471842,38.605416010215926,-47.7152974802653
168h_6h,2060,F11,decline,630,77.9711049663925,57.238299233572825,49.571813371585684,34.412210422092016
168h_6h,2060,F11,ordinary,3204,36.071505099575035,22.36338245258498,61.38756930073396,8.004570691921886
168h_6h,2060,B1,high_pollution,1152,67.77401995076694,53.0329440302319,22.64322821266269,-41.87707059913211
168h_6h,2060,B1,rapid_rise,750,65.45761150512833,51.82267900085449,38.72861720963755,-47.87237202453613
168h_6h,2060,B1,decline,630,78.16287825317781,57.38753522237142,49.62711073524548,34.56560084630573
168h_6h,2060,B1,ordinary,3204,36.091145479994175,22.308005735371147,61.224169475578435,7.655330630575078
168h_6h,2060,B2,high_pollution,1152,67.63138930080959,52.905826734171974,22.561952907222654,-41.64460919300715
168h_6h,2060,B2,rapid_rise,750,65.32778555575146,51.72234144083659,39.06391971169407,-47.88589869181315
168h_6h,2060,B2,decline,630,78.33003387521178,57.39678467039078,49.60542805056635,34.74463218810067
168h_6h,2060,B2,ordinary,3204,36.14468621161243,22.247791918922452,62.05910640649741,7.245969503262218
168h_6h,2060,B_flat,high_pollution,1152,68.05008277298258,53.537858436505,22.804716867918945,-42.82763762275378
168h_6h,2060,B_flat,rapid_rise,750,65.36992021476293,51.8312493947347,38.66774507907081,-47.7783799387614
168h_6h,2060,B_flat,decline,630,77.7378484741296,57.264876338413785,49.623387043756765,34.261648377918064
168h_6h,2060,B_flat,ordinary,3204,35.88832864686379,22.152851196412886,61.97106742500708,7.485163807720132
168h_6h,2060,B3,high_pollution,1152,67.82646419448147,53.18174851934115,22.697556099947803,-42.11975457602077
168h_6h,2060,B3,rapid_rise,750,65.54236935988851,51.99358940124512,39.162593983951126,-48.09749740091959
168h_6h,2060,B3,decline,630,78.14776939689561,57.37151371789357,49.64111591634901,34.57513299366784
168h_6h,2060,B3,ordinary,3204,36.28207692383868,22.476543150293395,62.56786302953438,7.362505413917417
168h_6h,2061,F00,high_pollution,1152,69.82811615063306,54.480728828244736,23.408488965807198,-43.30016868975427
168h_6h,2061,F00,rapid_rise,750,66.20288335762272,51.97588526407878,39.451230802977406,-48.695654500325524
168h_6h,2061,F00,decline,630,76.95389554351276,55.9338985745869,48.841708605526165,33.22690806313167
168h_6h,2061,F00,ordinary,3204,35.89439915929092,22.090265766958172,59.375373238427876,8.495672197377637
168h_6h,2061,F10,high_pollution,1152,69.07710387475758,54.13764323128594,23.124823577738223,-43.63952808909946
168h_6h,2061,F10,rapid_rise,750,65.18284346575827,51.135693903605144,38.289424921631785,-47.68973049418131
168h_6h,2061,F10,decline,630,76.31253233320678,55.76510192628891,48.80736692917323,33.42777249775236
168h_6h,2061,F10,ordinary,3204,35.64574646106608,22.116372076313148,59.513440669393404,9.236527167902457
168h_6h,2061,F01,high_pollution,1152,68.81856949768978,53.37542015645239,22.808246975150148,-41.64515085683929
168h_6h,2061,F01,rapid_rise,750,65.33934502237787,51.244241867065426,39.59896341570552,-47.88708694966634
168h_6h,2061,F01,decline,630,77.1122041099146,56.05259456937275,48.67406284035482,34.139089874994184
168h_6h,2061,F01,ordinary,3204,35.75151494897012,21.674749903018107,59.69056313017038,7.491504011975692
168h_6h,2061,F11,high_pollution,1152,68.00240140474978,52.92898781763183,22.507515294657253,-41.8263191084067
168h_6h,2061,F11,rapid_rise,750,64.42326148666605,50.477066579182946,38.60112210818305,-46.9099394938151
168h_6h,2061,F11,decline,630,76.77079526417872,56.1185723138234,48.779538643326184,34.58631867302789
168h_6h,2061,F11,ordinary,3204,35.59996388431836,21.778232873304656,59.88786388847569,8.22844284691019
168h_6h,2061,B1,high_pollution,1152,68.07770541060555,53.042677541573845,22.584483709372666,-41.926033556461334
168h_6h,2061,B1,rapid_rise,750,64.64405442664464,50.762893595377605,38.84328686681156,-47.28321172078451
168h_6h,2061,B1,decline,630,76.77688013670792,56.02522903321281,48.74041108008373,34.31464942447723
168h_6h,2061,B1,ordinary,3204,35.61540226184884,21.792056850428587,59.88469875781798,8.088175311666005
168h_6h,2061,B2,high_pollution,1152,68.33266759649565,53.22363570663664,22.63748922695782,-42.42389356427722
168h_6h,2061,B2,rapid_rise,750,64.66352015239549,50.604046076456704,38.44090409931934,-47.06006965637207
168h_6h,2061,B2,decline,630,76.40131915147843,55.90447606283521,48.74084193772937,34.038945933750696
168h_6h,2061,B2,ordinary,3204,35.44794731657165,21.71337378188763,59.5887692685715,8.401657873622785
168h_6h,2061,B_flat,high_pollution,1152,68.71789562829626,53.87595375378927,22.937974823009124,-43.198891957600914
168h_6h,2061,B_flat,rapid_rise,750,64.67158681020514,50.561250005086265,37.69880358064104,-46.96384474182129
168h_6h,2061,B_flat,decline,630,76.22024053553525,55.908921305338545,48.82316463738354,33.895343719966824
168h_6h,2061,B_flat,ordinary,3204,35.39953672785053,21.866229902641305,59.330028604920074,9.185342780362056
168h_6h,2061,B3,high_pollution,1152,67.912364072614,52.88126493162579,22.508431534510258,-41.66847158140607
168h_6h,2061,B3,rapid_rise,750,64.53609881750585,50.675854670206704,38.84864608696857,-47.18759203592936
168h_6h,2061,B3,decline,630,76.90796953218175,56.10087756202334,48.750704095989654,34.4949715266152
168h_6h,2061,B3,ordinary,3204,35.68258208502952,21.798818042959912,60.027757780671124,8.033031296938397
168h_6h,2062,F00,high_pollution,1152,67.80720542482551,51.50364871819814,22.171249346951583,-36.77991078959571
168h_6h,2062,F00,rapid_rise,750,65.11063575683721,50.71171299235026,40.180700650564326,-46.926578653971355
168h_6h,2062,F00,decline,630,80.01620087738414,58.43877005804153,50.144133726677566,38.02498673333062
168h_6h,2062,F00,ordinary,3204,37.0319517188325,22.75963603840041,60.663419350074165,8.38807839549585
168h_6h,2062,F10,high_pollution,1152,66.70788651280054,50.82790119118161,21.568662825492595,-37.838367104530334
168h_6h,2062,F10,rapid_rise,750,63.62902059143379,49.51041698201497,38.6169937883016,-45.10417487589518
168h_6h,2062,F10,decline,630,79.25598840828641,58.77282613118489,50.504766918686485,38.991419171530104
168h_6h,2062,F10,ordinary,3204,36.95524952829929,22.771189463421347,61.02951864300993,9.535073439875495
168h_6h,2062,F01,high_pollution,1152,66.81362340566196,50.53324676222272,21.635915095594672,-35.12000158760283
168h_6h,2062,F01,rapid_rise,750,63.926607642946465,49.471469955444334,39.090382696462214,-45.315473678588866
168h_6h,2062,F01,decline,630,80.71997825313743,59.14202251131572,50.40701540573404,39.60950896247985
