task,seed,variant,horizon_step,cell_count,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
168h_6h,2060,F10,5,871,60.72303814150701,43.226840534932855,63.01185491063339,-5.486542742233189
168h_6h,2060,F10,6,871,65.82368175436324,47.96991672800548,66.7556023403138,-5.430162248053041
168h_6h,2060,F01,1,871,26.920773802104502,16.94857396980925,31.299902523627033,-1.524218742116585
168h_6h,2060,F01,2,871,39.494974259406234,25.43727442043931,42.92490387683308,0.06681936726093826
168h_6h,2060,F01,3,871,48.301026266715255,32.30401289859951,51.69226556428631,-2.01133058812944
168h_6h,2060,F01,4,871,55.207630170386174,37.89473982328115,57.14355965175908,-2.0032906997628106
168h_6h,2060,F01,5,871,60.870298235448466,43.085666888616935,62.87899549418873,-4.07044106975078
168h_6h,2060,F01,6,871,66.01870344332026,47.949831282640844,66.19950053400773,-3.3143764631619548
168h_6h,2060,F11,1,871,26.17727540064603,16.022811482338625,31.631401270517383,-0.7742308825767689
168h_6h,2060,F11,2,871,38.89985836454639,25.020489899627652,41.994604264618175,0.023664191998241508
168h_6h,2060,F11,3,871,47.770050414813475,31.832391565894422,50.862514227748946,-1.8267129138197609
168h_6h,2060,F11,4,871,54.720507525829746,37.43681005221694,56.01441647394038,-1.663496680976877
168h_6h,2060,F11,5,871,60.245281755200836,42.90905999097156,62.27652787016882,-4.37598653064119
168h_6h,2060,F11,6,871,65.59009684222417,47.84610579673513,65.70228518915333,-4.184774041860167
168h_6h,2060,B1,1,871,26.24094691906071,16.092379936805138,31.643574536507547,-0.7753301197844725
168h_6h,2060,B1,2,871,38.976718711623406,25.065537926797614,41.848876392435955,-0.24869974445119647
168h_6h,2060,B1,3,871,48.01551526658729,31.968030975552022,51.10483046481548,-2.2360434504792566
168h_6h,2060,B1,4,871,54.69029947964369,37.317119160421136,55.90391903154834,-2.0523302579719904
168h_6h,2060,B1,5,871,60.432109648688645,42.94332505148396,61.85355867241581,-4.415928981881739
168h_6h,2060,B1,6,871,65.3607385721911,47.56057093255692,65.65647853186836,-4.2098643525186015
168h_6h,2060,B2,1,871,26.2496237802844,16.136242854472005,32.844470712791015,-0.8129266154204938
168h_6h,2060,B2,2,871,38.87438450898475,24.91266134110986,42.46633568557167,-0.19538278065100048
168h_6h,2060,B2,3,871,47.91431414192375,31.9060705515602,51.49306163967642,-2.341299970169155
168h_6h,2060,B2,4,871,54.74367522824154,37.32558138964507,56.151474798343415,-2.438066274509365
168h_6h,2060,B2,5,871,60.415290498567025,42.76965851898719,62.17512380613687,-4.609144107893058
168h_6h,2060,B2,6,871,65.59750827266375,47.60234997001499,66.22178748545137,-4.795249093687493
168h_6h,2060,B_flat,1,871,26.359024007005218,16.311194830455406,32.671120899063666,-0.7286293301325026
168h_6h,2060,B_flat,2,871,38.83007541539113,24.998822970998,42.37207455679291,-0.3580082609787606
168h_6h,2060,B_flat,3,871,47.87652256118188,31.949949332411336,51.23198710482442,-2.3439440896946313
168h_6h,2060,B_flat,4,871,54.62257587250527,37.32392699792382,56.44998420791983,-2.2487580423103273
168h_6h,2060,B_flat,5,871,60.24078337017543,42.78375542396519,61.95160078609118,-4.967052880165634
168h_6h,2060,B_flat,6,871,65.32214420284703,47.527085760841416,66.2568859518318,-4.90327226746096
168h_6h,2060,B3,1,871,26.44375580080802,16.250863255917956,32.821059856123874,-1.136296439800416
168h_6h,2060,B3,2,871,39.03951298675912,25.110048843716644,42.99178265722291,-0.6020583011526466
168h_6h,2060,B3,3,871,48.05666744825598,32.05344096992922,51.94109377686921,-2.5320365678018604
168h_6h,2060,B3,4,871,54.84704573396739,37.54105877356195,56.85369156516617,-2.2728032967253204
168h_6h,2060,B3,5,871,60.48180496540709,43.05830082855049,62.55534708769306,-4.544156990971001
168h_6h,2060,B3,6,871,65.5861213534854,47.87803988889219,66.25712727364098,-4.342890926672041
168h_6h,2061,F00,1,871,25.201277468640154,15.554560756573858,28.469610269936762,-1.008729398182147
168h_6h,2061,F00,2,871,38.387369061395205,24.510395312829353,39.67959513877293,-1.5142587996788337
168h_6h,2061,F00,3,871,47.881765872687446,31.63766429563888,48.73384760132718,-1.9900832499209555
168h_6h,2061,F00,4,871,55.183081660266424,37.89552022450006,57.671067385830774,-2.7237577558795567
168h_6h,2061,F00,5,871,61.269856138621854,43.67638700728301,62.05031908352877,-3.05702604081409
168h_6h,2061,F00,6,871,66.2543052464176,47.81019959739922,65.5686763927419,-3.8280874705615737
168h_6h,2061,F10,1,871,24.914477228058704,15.254541149643067,28.22863124568699,-0.6646387557895805
168h_6h,2061,F10,2,871,37.9744368435126,24.27875859099606,39.67101458780577,-1.1960143648797963
168h_6h,2061,F10,3,871,47.30458612010036,31.502082329803713,48.75540056232875,-1.7275329966495836
168h_6h,2061,F10,4,871,54.54493276011634,37.69413250595776,57.282300995350845,-2.0684311359812826
168h_6h,2061,F10,5,871,60.67309260091438,43.5794123530251,62.082813967482466,-2.100515810137638
168h_6h,2061,F10,6,871,65.71827234872022,47.758497091440056,65.42042252548435,-2.877534618881348
