task,seed,comparison,candidate,baseline,metric,baseline_error,candidate_error,absolute_improvement,relative_improvement_percent,improved
24h_1h,2061,combined_vs_degraded,F11,F00,smape_percent,21.56291034290856,21.874482105364653,-0.31157176245609364,-1.4449429947129606,False
24h_1h,2061,M_vs_self_history,F11,B1,rmse_ugm3,22.968402887259487,22.742973598578573,0.22542928868091394,0.9814756811234749,True
24h_1h,2061,M_vs_self_history,F11,B1,mae_ugm3,12.81448656021188,12.671154666709029,0.14333189350285025,1.118514525177202,True
24h_1h,2061,M_vs_self_history,F11,B1,smape_percent,21.686942489292917,21.874482105364653,-0.18753961607173508,-0.8647582118333438,False
24h_1h,2061,M_vs_recent_only,F11,B2,rmse_ugm3,22.74237439811676,22.742973598578573,-0.0005992004618136093,-0.0026347313227911137,False
24h_1h,2061,M_vs_recent_only,F11,B2,mae_ugm3,12.57392443042912,12.671154666709029,-0.09723023627990912,-0.7732688137095068,False
24h_1h,2061,M_vs_recent_only,F11,B2,smape_percent,21.78163496442201,21.874482105364653,-0.09284714094264146,-0.4262634145430194,False
24h_1h,2061,M_vs_flat,F11,B_flat,rmse_ugm3,22.649995153086792,22.742973598578573,-0.0929784454917808,-0.41050095094218814,False
24h_1h,2061,M_vs_flat,F11,B_flat,mae_ugm3,12.702593289553848,12.671154666709029,0.03143862284481891,0.2474976733347268,True
24h_1h,2061,M_vs_flat,F11,B_flat,smape_percent,23.32239517048647,21.874482105364653,1.447913065121817,6.208252002153241,True
24h_1h,2061,M_vs_uniform_gate,F11,B3,rmse_ugm3,23.100137436420425,22.742973598578573,0.3571638378418527,1.5461546011355611,True
24h_1h,2061,M_vs_uniform_gate,F11,B3,mae_ugm3,12.932877510105639,12.671154666709029,0.2617228433966101,2.0237015559151637,True
24h_1h,2061,M_vs_uniform_gate,F11,B3,smape_percent,21.856312236773526,21.874482105364653,-0.01816986859112646,-0.08313327698785078,False
24h_1h,2062,adapter_gain_without_spatial,F01,F00,rmse_ugm3,23.72434618450961,23.554653964643695,0.1696922198659152,0.7152661596917378,True
24h_1h,2062,adapter_gain_without_spatial,F01,F00,mae_ugm3,12.946541633780145,12.856470208189803,0.09007142559034165,0.6957180391350775,True
24h_1h,2062,adapter_gain_without_spatial,F01,F00,smape_percent,22.271520590410752,21.59952284022029,0.6719977501904637,3.017296225744908,True
24h_1h,2062,spatial_gain_without_adapter,F10,F00,rmse_ugm3,23.72434618450961,22.54460435781049,1.1797418266991215,4.972705327784388,True
24h_1h,2062,spatial_gain_without_adapter,F10,F00,mae_ugm3,12.946541633780145,12.70484791934218,0.2416937144379645,1.8668592839290512,True
