seed,dgp,horizon,setting,n_train,n_test,params_uncon,params_wcs,rmse_uncon,rmse_wcs_neg,rmse_wcs_pos,delta_neg_vs_uncon,delta_pos_vs_uncon
12,M,6,S-shift,5271,2356,15436,15373,0.631558,0.770404,1.131442,-21.984677,-79.150882
12,M,6,S-small,3495,5993,15436,15373,0.514089,0.521446,0.580679,-1.430968,-12.952878
13,A,1,S-iid,13983,5993,14786,14723,0.563471,0.663142,0.562288,-17.688824,0.209876
13,A,1,S-shift,5229,2240,14786,14723,0.836688,1.400401,0.792090,-67.374458,5.330309
13,A,1,S-small,3495,5993,14786,14723,0.565123,0.675132,0.575598,-19.466478,-1.853593
13,A,6,S-iid,13983,5993,15436,15373,0.536997,0.602653,0.541763,-12.226681,-0.887670
13,A,6,S-shift,5229,2240,15436,15373,0.694957,1.157793,0.680316,-66.599310,2.106793
13,A,6,S-small,3495,5993,15436,15373,0.555654,0.615299,0.548097,-10.734125,1.360119
13,M,1,S-iid,13983,5993,14786,14723,0.527502,0.533836,0.624871,-1.200726,-18.458642
13,M,1,S-shift,5229,2240,14786,14723,0.800718,1.005640,1.368052,-25.592205,-70.853099
13,M,1,S-small,3495,5993,14786,14723,0.536498,0.550712,0.641685,-2.649451,-19.606302
13,M,6,S-iid,13983,5993,15436,15373,0.520780,0.524124,0.580074,-0.642024,-11.385576
13,M,6,S-shift,5229,2240,15436,15373,0.766559,0.872773,1.095393,-13.855961,-42.897403
13,M,6,S-small,3495,5993,15436,15373,0.529798,0.533351,0.598765,-0.670569,-13.017652
14,A,1,S-iid,13983,5993,14786,14723,0.560465,0.654913,0.555310,-16.851680,0.919803
14,A,1,S-shift,5088,2263,14786,14723,0.837386,1.423988,0.801341,-70.051531,4.304455
14,A,1,S-small,3495,5993,14786,14723,0.567583,0.663365,0.569774,-16.875478,-0.386078
14,A,6,S-iid,13983,5993,15436,15373,0.537623,0.596885,0.535514,-11.022957,0.392224
14,A,6,S-shift,5088,2263,15436,15373,0.692238,1.068755,0.712364,-54.391278,-2.907377
14,A,6,S-small,3495,5993,15436,15373,0.544488,0.609253,0.547355,-11.894818,-0.526570
14,M,1,S-iid,13983,5993,14786,14723,0.524936,0.529475,0.630163,-0.864775,-20.045735
14,M,1,S-shift,5088,2263,14786,14723,0.875584,1.092628,1.383431,-24.788425,-58.000949
14,M,1,S-small,3495,5993,14786,14723,0.531586,0.553951,0.642245,-4.207264,-20.816827
14,M,6,S-iid,13983,5993,15436,15373,0.515108,0.523475,0.586094,-1.624352,-13.780712
14,M,6,S-shift,5088,2263,15436,15373,0.733593,0.918175,1.177942,-25.161366,-60.571653
14,M,6,S-small,3495,5993,15436,15373,0.521319,0.538959,0.591711,-3.383767,-13.502729
15,A,1,S-iid,13983,5993,14786,14723,0.551902,0.653095,0.556632,-18.335310,-0.856957
15,A,1,S-shift,5219,2336,14786,14723,0.829006,1.357684,0.873467,-63.772546,-5.363260
15,A,1,S-small,3495,5993,14786,14723,0.560214,0.662016,0.566972,-18.171939,-1.206358
15,A,6,S-iid,13983,5993,15436,15373,0.532412,0.597690,0.533459,-12.260742,-0.196568
15,A,6,S-shift,5219,2336,15436,15373,0.743662,1.120279,0.672442,-50.643630,9.576812
15,A,6,S-small,3495,5993,15436,15373,0.541347,0.606592,0.539072,-12.052430,0.420232
15,M,1,S-iid,13983,5993,14786,14723,0.518693,0.526271,0.622717,-1.460936,-20.054929
15,M,1,S-shift,5219,2336,14786,14723,0.749892,1.002734,1.364942,-33.717040,-82.018414
15,M,1,S-small,3495,5993,14786,14723,0.527330,0.539526,0.628476,-2.312669,-19.180691
15,M,6,S-iid,13983,5993,15436,15373,0.511149,0.516993,0.577660,-1.143198,-13.011973
15,M,6,S-shift,5219,2336,15436,15373,0.702087,0.837623,1.136244,-19.304717,-61.838059
15,M,6,S-small,3495,5993,15436,15373,0.516570,0.533239,0.582163,-3.226899,-12.697740
16,A,1,S-iid,13983,5993,14786,14723,0.547757,0.652358,0.549035,-19.096197,-0.233273
16,A,1,S-shift,5385,2376,14786,14723,0.926410,1.377137,0.934790,-48.653071,-0.904622
16,A,1,S-small,3495,5993,14786,14723,0.555045,0.664833,0.560014,-19.779979,-0.895292
16,A,6,S-iid,13983,5993,15436,15373,0.529030,0.595206,0.529503,-12.508893,-0.089420
16,A,6,S-shift,5385,2376,15436,15373,0.764017,1.146762,0.783907,-50.096311,-2.603311
16,A,6,S-small,3495,5993,15436,15373,0.535980,0.604831,0.537202,-12.845755,-0.227892
16,M,1,S-iid,13983,5993,14786,14723,0.515089,0.520825,0.618982,-1.113605,-20.170044
16,M,1,S-shift,5385,2376,14786,14723,0.615856,0.952340,1.315899,-54.636672,-113.669786
16,M,1,S-small,3495,5993,14786,14723,0.521427,0.538459,0.623643,-3.266456,-19.603206
16,M,6,S-iid,13983,5993,15436,15373,0.508245,0.511800,0.572946,-0.699580,-12.730466
16,M,6,S-shift,5385,2376,15436,15373,0.667176,0.813271,1.086179,-21.897515,-62.802439
16,M,6,S-small,3495,5993,15436,15373,0.513251,0.522402,0.579725,-1.782933,-12.951716
17,A,1,S-iid,13983,5993,14786,14723,0.549016,0.651753,0.549857,-18.712829,-0.153094
17,A,1,S-shift,5336,2287,14786,14723,0.864147,1.444241,0.740726,-67.129017,14.282413
17,A,1,S-small,3495,5993,14786,14723,0.559904,0.660830,0.556457,-18.025543,0.615678
17,A,6,S-iid,13983,5993,15436,15373,0.531536,0.592954,0.528384,-11.554927,0.592987
17,A,6,S-shift,5336,2287,15436,15373,0.764690,1.176025,0.732579,-53.791092,4.199168
17,A,6,S-small,3495,5993,15436,15373,0.538805,0.603897,0.539469,-12.080896,-0.123206
17,M,1,S-iid,13983,5993,14786,14723,0.516218,0.525300,0.623565,-1.759252,-20.794868
17,M,1,S-shift,5336,2287,14786,14723,0.750590,0.871041,1.294087,-16.047469,-72.409343
17,M,1,S-small,3495,5993,14786,14723,0.527415,0.543295,0.640491,-3.010912,-21.439590
17,M,6,S-iid,13983,5993,15436,15373,0.507060,0.515051,0.576711,-1.575843,-13.736234
17,M,6,S-shift,5336,2287,15436,15373,0.612863,0.739011,1.101309,-20.583478,-79.699235
17,M,6,S-small,3495,5993,15436,15373,0.515987,0.526694,0.590276,-2.074895,-14.397366
18,A,1,S-iid,13983,5993,14786,14723,0.554733,0.650913,0.550753,-17.338181,0.717518
18,A,1,S-shift,5525,2161,14786,14723,0.782159,1.357918,0.828459,-73.611529,-5.919458
18,A,1,S-small,3495,5993,14786,14723,0.561460,0.661438,0.557992,-17.806681,0.617643
18,A,6,S-iid,13983,5993,15436,15373,0.532751,0.594723,0.532397,-11.632451,0.066399
18,A,6,S-shift,5525,2161,15436,15373,0.696009,1.100104,0.688891,-58.058864,1.022754
18,A,6,S-small,3495,5993,15436,15373,0.539445,0.603082,0.540476,-11.796677,-0.191082
18,M,1,S-iid,13983,5993,14786,14723,0.518685,0.525972,0.621706,-1.404953,-19.861914
18,M,1,S-shift,5525,2161,14786,14723,0.673988,0.935731,1.233466,-38.835043,-83.010166
18,M,1,S-small,3495,5993,14786,14723,0.526071,0.543969,0.628502,-3.402257,-19.471066
18,M,6,S-iid,13983,5993,15436,15373,0.514148,0.520540,0.577531,-1.243132,-12.327752
18,M,6,S-shift,5525,2161,15436,15373,0.667992,0.776649,1.043529,-16.266145,-56.218834
18,M,6,S-small,3495,5993,15436,15373,0.518896,0.527057,0.588794,-1.572833,-13.470625
19,A,1,S-iid,13983,5993,14786,14723,0.546282,0.662986,0.552429,-21.363452,-1.125344
19,A,1,S-shift,5451,2339,14786,14723,0.851136,1.479268,0.883322,-73.799364,-3.781621
19,A,1,S-small,3495,5993,14786,14723,0.558307,0.670532,0.566816,-20.100991,-1.524065
19,A,6,S-iid,13983,5993,15436,15373,0.526724,0.599093,0.529549,-13.739532,-0.536504
19,A,6,S-shift,5451,2339,15436,15373,0.860178,1.241485,0.675673,-44.328824,21.449606
19,A,6,S-small,3495,5993,15436,15373,0.538006,0.619504,0.537602,-15.148141,0.075141
19,M,1,S-iid,13983,5993,14786,14723,0.515434,0.518161,0.621763,-0.529149,-20.629091
19,M,1,S-shift,5451,2339,14786,14723,0.700896,1.004941,1.394935,-43.379582,-99.021751
19,M,1,S-small,3495,5993,14786,14723,0.522610,0.537952,0.633261,-2.935695,-21.172726
19,M,6,S-iid,13983,5993,15436,15373,0.505915,0.508451,0.570004,-0.501226,-12.667897
19,M,6,S-shift,5451,2339,15436,15373,0.667533,0.891443,1.134126,-33.542905,-69.898085
19,M,6,S-small,3495,5993,15436,15373,0.511377,0.521970,0.587754,-2.071406,-14.935567
