attempt,task,seed,candidate_variant,baseline_rmse_ugm3,candidate_rmse_ugm3,rmse_reduction_percent,baseline_mae_ugm3,candidate_mae_ugm3,mae_reduction_percent
frozen_2032_2036,168h_to_6h,2034,st_station_bias_delta_forecast,42.86197662353516,42.78725051879883,0.1743412474713164,26.562042236328125,26.576623916625977,-0.05489668365148756
frozen_2032_2036,168h_to_6h,2035,st_station_bias_delta_forecast,41.78840255737305,41.5898666381836,0.47509813019741,25.68700218200684,25.50304412841797,0.7161522870026817
frozen_2032_2036,168h_to_6h,2036,st_station_bias_delta_forecast,43.34651565551758,43.27201461791992,0.1718731862780602,26.576171875,26.454519271850582,0.4577506637208923
anchored_2037_2041,24h_to_1h,2037,st_station_bias_delta_forecast,21.223995208740234,20.6184139251709,2.853285998292876,10.090755462646484,9.892651557922363,1.9632217375344534
anchored_2037_2041,24h_to_1h,2038,st_station_bias_delta_forecast,21.45778083801269,20.83063125610352,2.9227140804708487,10.07956314086914,10.032842636108398,0.46351715950175165
anchored_2037_2041,24h_to_1h,2039,st_station_bias_delta_forecast,21.38517189025879,20.71599578857422,3.1291593311409778,10.053838729858398,9.757060050964355,2.9518941656847413
anchored_2037_2041,24h_to_1h,2040,st_station_bias_delta_forecast,21.250608444213867,20.55218315124512,3.2866131565231216,10.06043529510498,9.860603332519531,1.9863152708976692
anchored_2037_2041,24h_to_1h,2041,st_station_bias_delta_forecast,21.42142677307129,20.79915428161621,2.9049068395263573,9.972676277160645,9.827799797058104,1.452734211721441
anchored_2037_2041,168h_to_6h,2037,st_station_bias_delta_forecast,42.64838409423828,42.44264221191406,0.48241425013805883,26.438373565673828,25.98686408996582,1.7077808307173008
anchored_2037_2041,168h_to_6h,2038,st_station_bias_delta_forecast,42.31592559814453,41.74631881713867,1.3460813463355636,26.13081741333008,25.41248321533203,2.748992450697725
anchored_2037_2041,168h_to_6h,2039,st_station_bias_delta_forecast,41.91286087036133,41.55283737182617,0.8589809692273878,25.863113403320312,25.467485427856445,1.529699728312974
anchored_2037_2041,168h_to_6h,2040,st_station_bias_delta_forecast,42.76363754272461,42.427696228027344,0.7855770322663288,27.223989486694336,26.0433406829834,4.3367956936949925
anchored_2037_2041,168h_to_6h,2041,st_station_bias_delta_forecast,42.66922378540039,42.76468276977539,-0.22371858662135316,26.123966217041016,26.179882049560547,-0.21404036452572273
frozen_sparse_station_2042_2046,24h_to_1h,2042,st_sparse_station_bias_delta_forecast,21.72380828857422,21.006778717041016,3.3006623977174834,10.268882751464844,10.114178657531738,1.506532869031318
frozen_sparse_station_2042_2046,24h_to_1h,2043,st_sparse_station_bias_delta_forecast,21.298471450805664,20.54516220092773,3.536916964289649,10.075552940368652,9.91000270843506,1.6430883040701356
frozen_sparse_station_2042_2046,24h_to_1h,2044,st_sparse_station_bias_delta_forecast,21.511947631835938,20.96202087402344,2.5563782844034515,10.09500503540039,10.048126220703123,0.46437633793025723
frozen_sparse_station_2042_2046,24h_to_1h,2045,st_sparse_station_bias_delta_forecast,21.208797454833984,20.476016998291016,3.4550778190205724,10.083951950073242,9.932272911071776,1.504162651234816
frozen_sparse_station_2042_2046,24h_to_1h,2046,st_sparse_station_bias_delta_forecast,21.476356506347656,20.77968406677246,3.2439042412491315,10.150971412658691,9.946430206298828,2.014991452983423
frozen_sparse_station_2042_2046,168h_to_6h,2042,st_sparse_station_bias_delta_forecast,43.19207382202149,43.17000198364258,0.05110159440332319,26.989620208740234,26.67725372314453,1.1573578404580416
frozen_sparse_station_2042_2046,168h_to_6h,2043,st_sparse_station_bias_delta_forecast,42.167118072509766,42.01515579223633,0.3603809964250487,26.087793350219727,26.078474044799805,0.03572285817667052
frozen_sparse_station_2042_2046,168h_to_6h,2044,st_sparse_station_bias_delta_forecast,43.450679779052734,43.296085357666016,0.3557928717636487,26.939083099365234,26.96139144897461,-0.08281035225694319
frozen_sparse_station_2042_2046,168h_to_6h,2045,st_sparse_station_bias_delta_forecast,41.772708892822266,41.28719711303711,1.1622702780201573,25.75136375427246,25.2393798828125,1.9881815827133296
frozen_sparse_station_2042_2046,168h_to_6h,2046,st_sparse_station_bias_delta_forecast,42.37717056274414,42.14192581176758,0.5551214199830928,26.34817314147949,26.1331729888916,0.8159964314543535
frozen_topk5_2047_2051,24h_to_1h,2047,st_sparse_station_bias_delta_forecast,21.56500816345215,20.94418716430664,2.87883498322834,10.156471252441406,10.00744342803955,1.467318921087206
frozen_topk5_2047_2051,24h_to_1h,2048,st_sparse_station_bias_delta_forecast,21.34377861022949,20.693115234375,3.0484919645045583,10.073267936706545,10.04171085357666,0.3132755261566305
frozen_topk5_2047_2051,24h_to_1h,2049,st_sparse_station_bias_delta_forecast,21.159788131713867,20.474903106689453,3.236729123945821,10.148390769958496,9.98098087310791,1.6496201284065315
frozen_topk5_2047_2051,24h_to_1h,2050,st_sparse_station_bias_delta_forecast,21.25834274291992,20.519243240356445,3.4767503351578513,10.171150207519531,10.040754318237305,1.2820171428185663
frozen_topk5_2047_2051,24h_to_1h,2051,st_sparse_station_bias_delta_forecast,21.117015838623047,20.49343681335449,2.952969444328547,9.957612037658691,9.837465286254885,1.2065819691450506
frozen_topk5_2047_2051,168h_to_6h,2047,st_sparse_station_bias_delta_forecast,42.28557968139648,42.0355339050293,0.5913263534546931,26.21038055419922,25.922821044921875,1.0971206949197585
frozen_topk5_2047_2051,168h_to_6h,2048,st_sparse_station_bias_delta_forecast,42.150657653808594,41.76460266113281,0.9158931655266798,26.19061088562012,25.97441291809082,0.8254789033882493
frozen_topk5_2047_2051,168h_to_6h,2049,st_sparse_station_bias_delta_forecast,42.4410285949707,42.03975677490234,0.9454809022133773,26.081850051879883,25.893796920776367,0.7210114724586474
frozen_topk5_2047_2051,168h_to_6h,2050,st_sparse_station_bias_delta_forecast,42.411041259765625,42.145111083984375,0.6270305276223713,26.277006149291992,25.984054565429688,1.1148590604192479
frozen_topk5_2047_2051,168h_to_6h,2051,st_sparse_station_bias_delta_forecast,42.04562759399414,41.61247253417969,1.0302023886933862,26.114770889282227,25.56278419494629,2.113695336161186
