variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,learning_rate_retry,note,infeasible_reason,device_name,batch_size,history,horizon,result_dir,smoke,city,station_id,independent_recomputed
center_lstm_default,center_lstm,2049,completed,29,0.098891444504261,14.014371540004504,0.040287273004651,test,41301,41301,B,default,default,1,,predictions/center_lstm_default_seed2049.npz,0.08184215426445007,0.28608067789427877,0.1385190188884735,21.26487159729004,10.296358108520508,16.79112434387207,[9],"{""hidden_size"": 100}",,,,,,168,1,experiments/results/baselines/beijing/168h_1h,False,beijing,,True
center_tcn_default,center_tcn,2047,completed,30,0.6041356325149536,363.70608764801,1.0018536129937274,test,66676,66676,B,default,default,1,,predictions/center_tcn_default_seed2047.npz,0.39263859391212463,0.626608804528092,0.4362645149230957,46.5769157409668,32.42829513549805,62.859962463378906,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,168,1,experiments/results/baselines/beijing/168h_1h,False,beijing,,True
center_tcn_default,center_tcn,2048,completed,30,0.5489029288291931,353.8631173600006,0.5751158999919426,test,66676,66676,B,default,default,1,,predictions/center_tcn_default_seed2048.npz,0.3286575973033905,0.5732866624154015,0.3929034471511841,42.61338424682617,29.205188751220703,45.4266242980957,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,168,1,experiments/results/baselines/beijing/168h_1h,False,beijing,,True
center_tcn_default,center_tcn,2049,completed,28,0.6432880759239197,353.5661290029966,0.6250634500029264,test,66676,66676,B,default,default,1,,predictions/center_tcn_default_seed2049.npz,0.4538505971431732,0.6736843453303433,0.47983384132385254,50.07612228393555,35.666873931884766,52.31096267700195,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,168,1,experiments/results/baselines/beijing/168h_1h,False,beijing,,True
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2047,completed,6,1.0717835426330566,11.1634292640083,0.0500152530003106,test,19591,19588,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2047.npz,0.7825813889503479,0.8846363032062091,0.6864548325538635,65.75654602050781,51.0253791809082,69.57320404052734,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,168,1,experiments/results/baselines/beijing/168h_1h,False,beijing,,True
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2048,completed,6,0.475279152393341,10.90034639199439,0.038092550006695,test,19591,19588,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2048.npz,0.3973972499370575,0.6303945192790444,0.4833725094795227,46.858314514160156,35.929908752441406,55.35056686401367,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,168,1,experiments/results/baselines/beijing/168h_1h,False,beijing,,True
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2049,completed,4,0.2150362133979797,9.079713439001353,0.0379976900003384,test,19591,19588,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2049.npz,0.14741528034210205,0.38394697595124,0.2667034864425659,28.539440155029297,19.82453155517578,51.410423278808594,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,168,1,experiments/results/baselines/beijing/168h_1h,False,beijing,,True
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2047,completed,8,0.4005980193614959,12.948898125003325,0.0497071449935901,test,19207,19204,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2047.npz,0.4377441108226776,0.6616223324697237,0.4131832718849182,49.179527282714844,30.71262550354004,46.796104431152344,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,168,1,experiments/results/baselines/beijing/168h_1h,False,beijing,,True
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2048,completed,5,0.4497152864933014,10.159303993001233,0.0377396719995886,test,19207,19204,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2048.npz,0.3292321562767029,0.5737875532605277,0.42424723505973816,42.65061950683594,31.5350284576416,47.61985397338867,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,168,1,experiments/results/baselines/beijing/168h_1h,False,beijing,,True
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2049,completed,9,0.3715656101703644,13.611357038011192,0.0379099690035218,test,19207,19204,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2049.npz,1.3909670114517212,1.1793926451575494,0.584087610244751,87.66629791259766,43.4162483215332,53.160255432128906,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,168,1,experiments/results/baselines/beijing/168h_1h,False,beijing,,True
