station_id,lag_hours,fold,train_samples,valid_samples,baseline_rmse_ugm3,augmented_rmse_ugm3,rmse_improvement_percent
1003,0,1,3115,600,12.025651708767555,11.85032756664985,1.4579180102969416
1003,0,2,3715,600,17.852062263486463,17.335548180356145,2.893302048283601
1003,0,3,4315,600,16.122712911692496,15.623225914028543,3.098033193295373
1003,0,4,4915,600,15.673044308639575,15.406393394040094,1.7013345291985986
1003,0,5,5515,600,22.885707965796787,22.32885083580695,2.433209105097698
1003,1,1,3115,600,12.025651708767555,12.011359680733978,0.11884618297365655
1003,1,2,3715,600,17.852062263486463,17.55763027039321,1.6492884057180615
1003,1,3,4315,600,16.122712911692496,15.781408645651444,2.116915855975648
1003,1,4,4915,600,15.673044308639575,15.656505554884014,0.10552355643150257
1003,1,5,5515,600,22.885707965796787,22.78665651829418,0.432809191005327
1003,2,1,3115,600,12.025651708767555,12.025682757761206,-0.0002581896965222893
1003,2,2,3715,600,17.852062263486463,17.68544991225687,0.9332947015895791
1003,2,3,4315,600,16.122712911692496,15.884861273215853,1.4752581639294007
1003,2,4,4915,600,15.673044308639575,15.699228998237725,-0.16706830582821686
1003,2,5,5515,600,22.885707965796787,22.89050860389397,-0.02097657675418263
1003,3,1,3115,600,12.025651708767555,12.025478123098452,0.0014434616377272346
1003,3,2,3715,600,17.852062263486463,17.836501605386264,0.0871644848115159
1003,3,3,4315,600,16.122712911692496,16.042074681922053,0.50015298425343
1003,3,4,4915,600,15.673044308639575,15.681050734731983,-0.05108405192215332
1003,3,5,5515,600,22.885707965796787,22.86391500747701,0.09522518749406922
1003,6,1,3115,600,12.025651708767555,12.02497220497808,0.005650452931200438
1003,6,2,3715,600,17.852062263486463,17.832267052995018,0.1108847269255434
1003,6,3,4315,600,16.122712911692496,16.122058828753065,0.004056903717215071
1003,6,4,4915,600,15.673044308639575,15.723311474231602,-0.3207236871289764
1003,6,5,5515,600,22.885707965796787,22.884982320690625,0.0031707347976560685
1003,12,1,3115,600,12.025651708767555,12.05531758627119,-0.2466883144637147
1003,12,2,3715,600,17.852062263486463,17.876365731028145,-0.13613815134058999
1003,12,3,4315,600,16.122712911692496,16.113226783117714,0.05883704948875134
1003,12,4,4915,600,15.673044308639575,15.677843507276243,-0.030620717597427596
1003,12,5,5515,600,22.885707965796787,22.937180877663607,-0.22491291046686482
1004,0,1,3115,600,12.025651708767555,12.008308637777795,0.14421730655242448
1004,0,2,3715,600,17.852062263486463,17.667104614790436,1.0360576048086536
1004,0,3,4315,600,16.122712911692496,15.913241790537265,1.2992299887900258
1004,0,4,4915,600,15.673044308639575,15.462667262160421,1.3422857891315112
1004,0,5,5515,600,22.885707965796787,22.432740617583573,1.9792586224126603
1004,1,1,3115,600,12.025651708767555,12.041903454203679,-0.1351423260019686
1004,1,2,3715,600,17.852062263486463,17.870578230405073,-0.10371892415186874
1004,1,3,4315,600,16.122712911692496,16.01792956185684,0.6499114039279696
1004,1,4,4915,600,15.673044308639575,15.538421814567114,0.8589428538669567
1004,1,5,5515,600,22.885707965796787,22.616784874565386,1.1750700115255859
1004,2,1,3115,600,12.025651708767555,12.030508848739888,-0.040389827428582624
1004,2,2,3715,600,17.852062263486463,17.823357988755003,0.16078968529126236
1004,2,3,4315,600,16.122712911692496,16.060302828556075,0.38709417874183755
1004,2,4,4915,600,15.673044308639575,15.632404637550382,0.2592966005129681
1004,2,5,5515,600,22.885707965796787,22.755565718371948,0.5686616626382701
1004,3,1,3115,600,12.025651708767555,12.034268513872732,-0.07165353956571757
1004,3,2,3715,600,17.852062263486463,17.866101598940972,-0.07864265342175165
1004,3,3,4315,600,16.122712911692496,16.0853641079895,0.23165334461740086
1004,3,4,4915,600,15.673044308639575,15.68192759861155,-0.05667877788795378
1004,3,5,5515,600,22.885707965796787,22.82974227295618,0.24454429342647796
1004,6,1,3115,600,12.025651708767555,12.024167183981676,0.01234465143203861
1004,6,2,3715,600,17.852062263486463,17.89170495024036,-0.22206222546612897
1004,6,3,4315,600,16.122712911692496,16.130322028928347,-0.047195017845497914
1004,6,4,4915,600,15.673044308639575,15.685524348357223,-0.07962741297661242
1004,6,5,5515,600,22.885707965796787,22.88578068549051,-0.00031775155844586725
1004,12,1,3115,600,12.025651708767555,12.025692430947933,-0.00033862763835322123
1004,12,2,3715,600,17.852062263486463,17.85259689016275,-0.0029947614365051782
1004,12,3,4315,600,16.122712911692496,16.132716932093576,-0.06204923734531785
1004,12,4,4915,600,15.673044308639575,15.669030012600293,0.02561273968369301
1004,12,5,5515,600,22.885707965796787,22.86088890189728,0.10844787470241078
1005,0,1,3115,600,12.025651708767555,11.971886190819545,0.4470902637967738
1005,0,2,3715,600,17.852062263486463,17.63976763047342,1.1891882846905555
1005,0,3,4315,600,16.122712911692496,16.179642545041993,-0.3531020719733282
