schema_version,condition,task,seed,arm,training_rng_seed,best_epoch,best_valid_loss,training_seconds,parameter_count,backbone_parameter_count,parameter_increment,initial_backbone_hash,prior_mode,tau,tau_applied,prior_only_rmse_raw,prior_only_mae_raw,prior_only_per_step_rmse_raw,mse_scaled,rmse_scaled,mae_scaled,rmse_raw,mae_raw,smape_percent,per_step_rmse_raw,prediction_artifact
ccsprf-l0-v2,calendar_on,24h_1h,20260944,CCSPRF-global,21260947,27,0.35229721665382385,5.477664017002098,16646,16646,0,72fd61b325fe59c4d4ab0858d3df83ee7c3b3cde5ef438ef4fd608bcc124f56f,global,,False,1.4533073902130127,1.172277808189392,[1.4533073902130127],0.372597873210907,0.6104079484939575,0.48589640855789185,0.8565374612808228,0.6818202137947083,6.941684246063232,[0.8565374612808228],predictions/calendar_on/24h_1h/seed20260944/CCSPRF-global.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260944,CCSPRF,21260947,23,0.3439538776874542,4.938371095999173,16646,16646,0,72fd61b325fe59c4d4ab0858d3df83ee7c3b3cde5ef438ef4fd608bcc124f56f,calendar,50.0,True,1.1874619722366333,0.9513874053955078,[1.1874619722366333],0.3650485873222351,0.6041924953460693,0.4799749553203583,0.8478158116340637,0.6735110878944397,6.870691299438477,[0.8478158116340637],predictions/calendar_on/24h_1h/seed20260944/CCSPRF.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260944,EMB,21260947,40,0.3530583083629608,6.43966868699863,16770,16646,124,72fd61b325fe59c4d4ab0858d3df83ee7c3b3cde5ef438ef4fd608bcc124f56f,embedding_bias,,False,1.4397544860839844,1.1611473560333252,[1.4397544860839844],0.37638935446739197,0.6135057806968689,0.4885654151439667,0.860884428024292,0.6855654716491699,6.994140148162842,[0.860884428024292],predictions/calendar_on/24h_1h/seed20260944/EMB.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260945,BASE,21260948,17,0.40538516640663147,4.001736758000334,16646,16646,0,60b5fdf15799d7e02f5b771ddeb6fb736c07d80ac7766370943264036bc8da71,none,,False,1.3813486099243164,1.1107264757156372,[1.3813486099243164],0.38228100538253784,0.6182887554168701,0.49234724044799805,0.8651966452598572,0.6889615058898926,6.999303340911865,[0.8651966452598572],predictions/calendar_on/24h_1h/seed20260945/BASE.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260945,CCSPRF-global,21260948,17,0.40537551045417786,3.8965159760009556,16646,16646,0,60b5fdf15799d7e02f5b771ddeb6fb736c07d80ac7766370943264036bc8da71,global,,False,1.3813486099243164,1.1107264757156372,[1.3813486099243164],0.3822743594646454,0.6182833909988403,0.4923427402973175,0.8651890158653259,0.6889551877975464,6.999241352081299,[0.8651890158653259],predictions/calendar_on/24h_1h/seed20260945/CCSPRF-global.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260945,CCSPRF,21260948,12,0.39215025305747986,3.0605394990016066,16646,16646,0,60b5fdf15799d7e02f5b771ddeb6fb736c07d80ac7766370943264036bc8da71,calendar,50.0,True,1.1341222524642944,0.90259850025177,[1.1341222524642944],0.38201847672462463,0.6180764436721802,0.49572184681892395,0.8648994565010071,0.6936836838722229,7.058714866638184,[0.8648994565010071],predictions/calendar_on/24h_1h/seed20260945/CCSPRF.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260945,EMB,21260948,40,0.39600062370300293,6.54936083499706,16770,16646,124,60b5fdf15799d7e02f5b771ddeb6fb736c07d80ac7766370943264036bc8da71,embedding_bias,,False,1.333033800125122,1.0649482011795044,[1.333033800125122],0.3816288113594055,0.6177611351013184,0.49084532260894775,0.8644582629203796,0.6868597865104675,6.9807233810424805,[0.8644582629203796],predictions/calendar_on/24h_1h/seed20260945/EMB.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260946,BASE,21260949,21,0.39785322546958923,4.443818711999484,16646,16646,0,27e1a72de16dc9e5f231289bfd49c58a63fc9a262dac10130cd1a5584baadb29,none,,False,1.342104434967041,1.0728870630264282,[1.342104434967041],0.3894205689430237,0.6240357160568237,0.4958054721355438,0.8702907562255859,0.6914587020874023,7.0829758644104,[0.8702907562255859],predictions/calendar_on/24h_1h/seed20260946/BASE.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260946,CCSPRF-global,21260949,21,0.39785119891166687,4.454635828999017,16646,16646,0,27e1a72de16dc9e5f231289bfd49c58a63fc9a262dac10130cd1a5584baadb29,global,,False,1.342104434967041,1.0728870630264282,[1.342104434967041],0.38942214846611023,0.624036967754364,0.49580660462379456,0.8702925443649292,0.6914603114128113,7.082993507385254,[0.8702925443649292],predictions/calendar_on/24h_1h/seed20260946/CCSPRF-global.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260946,CCSPRF,21260949,2,0.3958021402359009,1.7131535889966472,16646,16646,0,27e1a72de16dc9e5f231289bfd49c58a63fc9a262dac10130cd1a5584baadb29,calendar,50.0,True,1.1117361783981323,0.8942593932151794,[1.1117361783981323],0.39779072999954224,0.6307065486907959,0.5045961141586304,0.8795940279960632,0.7037183046340942,7.22401237487793,[0.8795940279960632],predictions/calendar_on/24h_1h/seed20260946/CCSPRF.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260946,EMB,21260949,40,0.3867330253124237,6.599766944000294,16770,16646,124,27e1a72de16dc9e5f231289bfd49c58a63fc9a262dac10130cd1a5584baadb29,embedding_bias,,False,1.2903763055801392,1.0335522890090942,[1.2903763055801392],0.3877248466014862,0.6226755380630493,0.49782854318618774,0.8683938980102539,0.6942800879478455,7.112969398498535,[0.8683938980102539],predictions/calendar_on/24h_1h/seed20260946/EMB.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260947,BASE,21260950,7,0.3811231553554535,2.2999358940032835,16646,16646,0,806a9c44ad881b2877730a22384b308a785480aff5227cf7f203fba56fce6c9d,none,,False,1.359042763710022,1.0752285718917847,[1.359042763710022],0.37131136655807495,0.609353244304657,0.4899124503135681,0.8596908450126648,0.6911807060241699,7.0739946365356445,[0.8596908450126648],predictions/calendar_on/24h_1h/seed20260947/BASE.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260947,CCSPRF-global,21260950,7,0.3811158239841461,2.3219808249996277,16646,16646,0,806a9c44ad881b2877730a22384b308a785480aff5227cf7f203fba56fce6c9d,global,,False,1.359042763710022,1.0752285718917847,[1.359042763710022],0.3713110089302063,0.6093529462814331,0.48991307616233826,0.8596904277801514,0.6911816596984863,7.074014663696289,[0.8596904277801514],predictions/calendar_on/24h_1h/seed20260947/CCSPRF-global.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260947,CCSPRF,21260950,6,0.38010838627815247,2.1668510630006494,16646,16646,0,806a9c44ad881b2877730a22384b308a785480aff5227cf7f203fba56fce6c9d,calendar,50.0,True,1.1112768650054932,0.8733193278312683,[1.1112768650054932],0.3622181713581085,0.6018456220626831,0.48161154985427856,0.8490989804267883,0.6794697046279907,6.961378574371338,[0.8490989804267883],predictions/calendar_on/24h_1h/seed20260947/CCSPRF.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260947,EMB,21260950,40,0.36915653944015503,6.539003275000141,16770,16646,124,806a9c44ad881b2877730a22384b308a785480aff5227cf7f203fba56fce6c9d,embedding_bias,,False,1.3463541269302368,1.0642633438110352,[1.3463541269302368],0.3586706519126892,0.5988911986351013,0.4834449589252472,0.8449307680130005,0.6820563077926636,6.973171234130859,[0.8449307680130005],predictions/calendar_on/24h_1h/seed20260947/EMB.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260948,BASE,21260951,5,0.3633536696434021,2.0139531400018313,16646,16646,0,f07440c5927089d42ce1f992e3f241a18b4c419622d6b9da41fd52ff860b0cba,none,,False,1.4234144687652588,1.1288154125213623,[1.4234144687652588],0.3771984875202179,0.6141648888587952,0.48722314834594727,0.8762719035148621,0.6951553225517273,7.076175689697266,[0.8762719035148621],predictions/calendar_on/24h_1h/seed20260948/BASE.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260948,CCSPRF-global,21260951,5,0.36334291100502014,2.0381012649995682,16646,16646,0,f07440c5927089d42ce1f992e3f241a18b4c419622d6b9da41fd52ff860b0cba,global,,False,1.4234144687652588,1.1288154125213623,[1.4234144687652588],0.3771883547306061,0.6141566038131714,0.4872176945209503,0.8762601613998413,0.6951475739479065,7.076101779937744,[0.8762601613998413],predictions/calendar_on/24h_1h/seed20260948/CCSPRF-global.npz
