scope,task,fold,model,horizon_step,selected_alpha,train_samples,validation_samples,rmse,mae,smape_percent
selection_interval_L0_not_test_not_neural,24h_1h,1,R_lag,1,100.0,2619,873,13.254360454659865,8.349370623537286,19.579856359503445
selection_interval_L0_not_test_not_neural,24h_1h,2,R_self,1,10.0,3492,873,16.56089275624323,9.839789072418684,19.999486732690773
selection_interval_L0_not_test_not_neural,24h_1h,2,R_recent,1,10.0,3492,873,16.615629262033497,9.973485549244256,20.788808889112122
selection_interval_L0_not_test_not_neural,24h_1h,2,R_lag,1,10.0,3492,873,16.543141793083322,9.923845755403454,21.812126123313238
selection_interval_L0_not_test_not_neural,24h_1h,3,R_self,1,0.0001,4365,873,15.960530836699332,8.727555813884342,27.763147334235246
selection_interval_L0_not_test_not_neural,24h_1h,3,R_recent,1,0.0001,4365,873,15.485144779279413,8.434375026729304,28.402697234666658
selection_interval_L0_not_test_not_neural,24h_1h,3,R_lag,1,0.0001,4365,873,15.609384067158228,8.87013358550309,37.544948699179116
selection_interval_L0_not_test_not_neural,24h_1h,4,R_self,1,0.0001,5238,873,20.97357890101833,11.073874616800438,28.722729109501056
selection_interval_L0_not_test_not_neural,24h_1h,4,R_recent,1,0.0001,5238,873,20.592684099560415,10.80329320612159,28.265460021990563
selection_interval_L0_not_test_not_neural,24h_1h,4,R_lag,1,10.0,5238,873,20.59615068415214,11.062166698228177,35.112718998366304
selection_interval_L0_not_test_not_neural,24h_1h,5,R_self,1,0.0001,6111,873,23.743636895253857,12.901193579578647,21.513679080457404
selection_interval_L0_not_test_not_neural,24h_1h,5,R_recent,1,0.0001,6111,873,23.255817835499666,12.713714444472162,21.852151477160408
selection_interval_L0_not_test_not_neural,24h_1h,5,R_lag,1,1.0,6111,873,23.00626626164706,12.71665937736248,23.593208185145745
