scope,task,fold,model,alpha,inner_fit_samples,inner_validation_samples,rmse_all,mae_all,smape_all_percent,selected
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,0.001,4327,765,40.18991745020623,23.903571468700935,54.72622095504667,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,0.01,4327,765,40.189927758404195,23.90359141113502,54.72629160689326,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,0.1,4327,765,40.19003083978498,23.903790820604847,54.72699860156075,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,1.0,4327,765,40.19106159240091,23.905786280692443,54.73409278733858,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,10.0,4327,765,40.201361796196004,23.9257671817601,54.79271711004217,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,100.0,4327,765,40.30310810441421,24.12933410838242,55.3802392257997,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,0.0001,4327,765,38.90461797732399,22.827098122396713,52.59642444908172,True
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,0.001,4327,765,38.90461923824823,22.827097774487303,52.596423117405564,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,0.01,4327,765,38.90463184754506,22.8270942954043,52.59640980316308,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,0.1,4327,765,38.90475794594176,22.82705950569174,52.59627691245933,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,1.0,4327,765,38.906019466630575,22.82671442992314,52.59506335369073,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,10.0,4327,765,38.91868249765566,22.823480692547776,52.585130988172224,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,100.0,4327,765,39.04614619666166,22.824336270127173,52.82778827519895,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,0.0001,4327,765,38.742306344107945,23.31888242558367,60.17728947558385,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,0.001,4327,765,38.74230384300021,23.318879222444977,60.17728397111696,False
