scope,task,fold,model,alpha,horizon_step,rmse,mae,smape_percent
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.01,3,29.176128636474033,20.139498751332834,40.04005706186244
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.01,4,32.518290351178514,23.621891697145138,45.17919576010279
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.01,5,34.88380250201113,26.050804801581048,47.797527189907804
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.01,6,37.24534479324502,28.151302416763272,50.347425236833786
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.1,1,15.528046167323703,9.44808407235466,22.109247907732662
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.1,2,24.309218107448114,15.563122785121271,32.66910854399224
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.1,3,29.17604544278409,20.139675138730173,40.04042639654778
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.1,4,32.518234101166406,23.621999415444254,45.17922683847659
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.1,5,34.88371437089985,26.05087054939891,47.7974469503468
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,0.1,6,37.245164873508884,28.151281888848676,50.347308690098735
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,1.0,1,15.527685708430523,9.44924838968653,22.111625115244983
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,1.0,2,24.30776126959864,15.565357475760099,32.67387223444872
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,1.0,3,29.1752187050093,20.141435169340596,40.044104978925
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,1.0,4,32.51767387073484,23.623074170131883,45.17943329024746
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,1.0,5,34.882835014972265,26.051526205889065,47.79664581535668
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,1.0,6,37.24336949204959,28.15107703404558,50.34614355248088
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,10.0,1,15.52576199850171,9.464047570953923,22.141744972928983
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,10.0,2,24.294149916231845,15.588369190103972,32.72055823604738
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,10.0,3,29.167443308036557,20.158992994016803,40.08076348312119
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,10.0,4,32.512290416637285,23.633587183763908,45.1790660322231
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,10.0,5,34.87423414492679,26.05790689426347,47.78875687805863
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,10.0,6,37.225787400380284,28.14906881954775,50.33452951273074
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,100.0,1,15.609516566721165,9.703065633811155,22.59896317318502
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,100.0,2,24.221634990745766,15.82637825652756,33.199443979706984
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,100.0,3,29.1218986958363,20.342088985678703,40.30384429052155
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,100.0,4,32.474816575885875,23.759758136949564,45.16884957377777
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,100.0,5,34.80483850568264,26.120045500990113,47.746517078418385
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,100.0,6,37.07989310935932,28.13184230377877,50.2244865707079
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.0001,1,15.929774386223365,9.836174773498765,23.568311175817044
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.0001,2,24.916675952751074,16.232984311719655,34.016461212748005
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.0001,3,29.572203518099926,20.55904560968032,40.75312349460935
