width,parameter_count,absolute_difference,relative_difference_percent
112,22290,20758,1354.9608355091384
113,22602,21070,1375.3263707571803
114,22916,21384,1395.822454308094
115,23232,21700,1416.44908616188
116,23550,22018,1437.206266318538
117,23870,22338,1458.0939947780678
118,24192,22660,1479.11227154047
119,24516,22984,1500.2610966057441
120,24842,23310,1521.5404699738904
121,25170,23638,1542.9503916449087
122,25500,23968,1564.490861618799
123,25832,24300,1586.1618798955615
124,26166,24634,1607.9634464751957
125,26502,24970,1629.8955613577023
126,26840,25308,1651.9582245430809
127,27180,25648,1674.1514360313315
128,27522,25990,1696.4751958224542
129,27866,26334,1718.929503916449
130,28212,26680,1741.5143603133158
131,28560,27028,1764.229765013055
132,28910,27378,1787.0757180156659
133,29262,27730,1810.0522193211489
134,29616,28084,1833.159268929504
135,29972,28440,1856.396866840731
136,30330,28798,1879.7650130548302
137,30690,29158,1903.2637075718017
138,31052,29520,1926.892950391645
139,31416,29884,1950.6527415143603
140,31782,30250,1974.5430809399477
141,32150,30618,1998.5639686684074
142,32520,30988,2022.7154046997389
143,32892,31360,2046.9973890339425
144,33266,31734,2071.4099216710183
145,33642,32110,2095.953002610966
146,34020,32488,2120.626631853786
147,34400,32868,2145.4308093994778
148,34782,33250,2170.365535248042
149,35166,33634,2195.4308093994778
150,35552,34020,2220.626631853786
151,35940,34408,2245.953002610966
152,36330,34798,2271.4099216710183
153,36722,35190,2296.9973890339425
154,37116,35584,2322.715404699739
155,37512,35980,2348.563968668407
156,37910,36378,2374.5430809399477
157,38310,36778,2400.6527415143605
158,38712,37180,2426.8929503916447
159,39116,37584,2453.2637075718017
160,39522,37990,2479.7650130548304
161,39930,38398,2506.396866840731
162,40340,38808,2533.159268929504
163,40752,39220,2560.0522193211486
164,41166,39634,2587.0757180156656
165,41582,40050,2614.229765013055
166,42000,40468,2641.514360313316
167,42420,40888,2668.929503916449
168,42842,41310,2696.475195822454
169,43266,41734,2724.1514360313317
170,43692,42160,2751.958224543081
171,44120,42588,2779.8955613577023
172,44550,43018,2807.9634464751957
173,44982,43450,2836.1618798955615
174,45416,43884,2864.490861618799
175,45852,44320,2892.9503916449084
176,46290,44758,2921.54046997389
177,46730,45198,2950.261096605744
178,47172,45640,2979.11227154047
179,47616,46084,3008.093994778068
180,48062,46530,3037.206266318538
181,48510,46978,3066.4490861618797
182,48960,47428,3095.822454308094
183,49412,47880,3125.32637075718
184,49866,48334,3154.960835509138
185,50322,48790,3184.7258485639686
186,50780,49248,3214.621409921671
187,51240,49708,3244.6475195822454
188,51702,50170,3274.804177545692
189,52166,50634,3305.0913838120105
190,52632,51100,3335.509138381201
191,53100,51568,3366.0574412532637
192,53570,52038,3396.7362924281983
193,54042,52510,3427.5456919060052
194,54516,52984,3458.485639686684
195,54992,53460,3489.556135770235
196,55470,53938,3520.757180156658
197,55950,54418,3552.088772845953
198,56432,54900,3583.5509138381203
199,56916,55384,3615.143603133159
200,57402,55870,3646.8668407310706
201,57890,56358,3678.720626631854
202,58380,56848,3710.704960835509
203,58872,57340,3742.8198433420366
204,59366,57834,3775.065274151436
205,59862,58330,3807.4412532637075
206,60360,58828,3839.9477806788514
207,60860,59328,3872.584856396867
208,61362,59830,3905.3524804177546
209,61866,60334,3938.2506527415144
210,62372,60840,3971.279373368146
211,62880,61348,4004.43864229765
212,63390,61858,4037.728459530026
213,63902,62370,4071.148825065274
214,64416,62884,4104.699738903394
215,64932,63400,4138.381201044386
216,65450,63918,4172.19321148825
217,65970,64438,4206.135770234987
218,66492,64960,4240.2088772845955
219,67016,65484,4274.412532637076
220,67542,66010,4308.746736292428
221,68070,66538,4343.211488250653
222,68600,67068,4377.80678851175
223,69132,67600,4412.532637075718
224,69666,68134,4447.389033942559
225,70202,68670,4482.375979112271
226,70740,69208,4517.493472584856
227,71280,69748,4552.741514360313
228,71822,70290,4588.120104438643
229,72366,70834,4623.629242819843
230,72912,71380,4659.268929503916
231,73460,71928,4695.039164490861
232,74010,72478,4730.939947780679
233,74562,73030,4766.971279373368
234,75116,73584,4803.133159268929
235,75672,74140,4839.425587467363
236,76230,74698,4875.848563968669
237,76790,75258,4912.402088772846
238,77352,75820,4949.086161879895
239,77916,76384,4985.900783289817
240,78482,76950,5022.845953002611
241,79050,77518,5059.921671018276
242,79620,78088,5097.127937336814
243,80192,78660,5134.464751958225
244,80766,79234,5171.9321148825065
245,81342,79810,5209.530026109661
246,81920,80388,5247.258485639687
247,82500,80968,5285.117493472585
248,83082,81550,5323.107049608355
249,83666,82134,5361.227154046997
250,84252,82720,5399.477806788512
251,84840,83308,5437.859007832898
252,85430,83898,5476.370757180157
253,86022,84490,5515.013054830287
254,86616,85084,5553.785900783289
255,87212,85680,5592.689295039165
256,87810,86278,5631.723237597911
